"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic"
45.24194,12.292425,2025,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,112,104,98,88,98,88
45.327809,12.321359,2025,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,100,105,98,105,98
45.431332,12.351641,2023,3,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.05,101,97,105,100,105,100
45.322608,12.317792,2023,3,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,100,105,97,105,97
45.437936,12.303813,2023,3,"Italy","HUMAN_OBSERVATION",45.35,12.35,10.43,101,97,105,100,105,100
45.438333,12.335949,2023,3,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.89,101,97,105,100,105,100
45.372329,12.336442,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,98,105,103,105,103
45.430042,12.381753,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.25,101,97,105,100,105,100
45.408619,12.362979,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,6.6,101,97,105,100,105,100
45.341947,12.30899,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,100,105,99,105,99
45.38991,12.3492,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,96,105,104,105,104
45.332859,12.317289,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,100,105,98,105,98
45.270654,12.299697,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,112,103,98,91,98,91
45.311142,12.310998,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,101,105,96,105,96
45.433642,12.327514,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.48,101,97,105,100,105,100
45.316936,12.314843,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,101,105,96,105,96
45.435175,12.320595,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.76,101,97,105,100,105,100
45.433443,12.341043,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.32,101,97,105,100,105,100
45.253714,12.299056,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,112,104,98,89,98,89
45.243062,12.293684,2023,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,112,104,98,88,98,88
45.429543,12.342367,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.87,101,97,105,100,105,100
45.433551,12.346923,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.3,101,97,105,100,105,100
45.440621,12.321593,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,10.33,101,97,105,100,105,100
45.42764,12.36316,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.7,101,97,105,100,105,100
45.442544,12.328543,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,10.44,101,97,105,100,105,100
45.425287,12.361025,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.43,101,97,105,100,105,100
45.417835,12.368273,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,7.69,101,97,105,100,105,100
45.43256,12.338895,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.23,101,97,105,100,105,100
45.428327,12.331671,2023,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.84,101,97,105,100,105,100
45.606796,12.89986,2023,4,"Italy","HUMAN_OBSERVATION",45.55,12.85,7.42,55,56,129,128,129,128
45.432795,12.349494,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.22,101,97,105,100,105,100
45.433781,12.344408,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,2023,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.34,101,97,105,100,105,100
45.306769,12.313777,2023,6,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,101,105,95,105,95
45.313546,12.316491,2023,6,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,101,105,96,105,96
45.41373,12.378265,2023,6,"Italy","HUMAN_OBSERVATION",45.35,12.35,7.43,101,97,105,100,105,100
45.419384,12.386611,2022,6,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.24,101,97,105,100,105,100
45.480474,12.480341,2022,6,"Italy","HUMAN_OBSERVATION",45.45,12.55,6.41,82,80,114,112,114,112
38.49795,23.531935,2022,8,"Greece","HUMAN_OBSERVATION",38.55,23.55,6,1539,1131,1507,1140,1507,1140
45.273378,12.303228,2021,5,"Italy","HUMAN_OBSERVATION",NA,NA,NA,104,103,94,92,94,92
45.239296,12.298861,2021,5,"Italy","HUMAN_OBSERVATION",NA,NA,NA,112,104,98,88,98,88
39.145299,23.165916,2021,6,"Greece","HUMAN_OBSERVATION",NA,NA,NA,1545,1060,1513,1073,1513,1073
45.426276,12.327195,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.68,101,97,105,100,105,100
45.4249,12.326864,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.53,101,97,105,100,105,100
45.42491,12.327208,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.53,101,97,105,100,105,100
45.424988,12.327641,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.53,101,97,105,100,105,100
45.424687,12.32786,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.49,101,97,105,100,105,100
45.423483,12.32724,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.37,101,97,105,100,105,100
45.423899,12.326743,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.42,101,97,105,100,105,100
45.429937,12.339617,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.94,101,97,105,100,105,100
45.432409,12.316813,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.53,101,97,105,100,105,100
45.42739,12.339775,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.65,101,97,105,100,105,100
45.431089,12.335536,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.1,101,97,105,100,105,100
45.426252,12.327228,2020,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.67,101,97,105,100,105,100
45.425555,12.331067,2020,5,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.54,101,97,105,100,105,100
40.42865,22.871022,2020,5,"Greece","HUMAN_OBSERVATION",NA,NA,NA,1673,945,1642,973,1642,973
39.139272,23.26916,2020,6,"Greece","HUMAN_OBSERVATION",39.15,23.35,7.08,1532,1071,1500,1086,1500,1086
44.826491,12.421608,2020,6,"Italy","HUMAN_OBSERVATION",44.75,12.45,8.81,126,123,35,34,35,34
45.42492,12.327456,2020,6,"Italy","HUMAN_OBSERVATION",45.35,12.35,8.52,101,97,105,100,105,100
44.130578,12.489027,2020,6,"Italy","HUMAN_OBSERVATION",44.15,12.55,5.33,176,172,37,37,37,37
45.395397,12.360175,2020,7,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,95,105,105,105,105
45.62738,13.001711,2018,5,"Italy","HUMAN_OBSERVATION",45.55,13.05,9.4,39,41,135,134,135,134
45.362311,12.345559,2008,5,"Italy","HUMAN_OBSERVATION",NA,NA,NA,101,97,105,101,105,101
45.084805,13.63444,2020,7,"Croatia","MATERIAL_SAMPLE",NA,NA,NA,61,49,124,124,124,124
45.084805,13.63444,2020,7,"Croatia","MATERIAL_SAMPLE",NA,NA,NA,61,49,124,124,124,124
45.084805,13.63444,2020,7,"Croatia","MATERIAL_SAMPLE",NA,NA,NA,61,49,124,124,124,124
45.084805,13.63444,2020,7,"Croatia","MATERIAL_SAMPLE",NA,NA,NA,61,49,124,124,124,124
45.084805,13.63444,2020,7,"Croatia","MATERIAL_SAMPLE",NA,NA,NA,61,49,124,124,124,124
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,NA,NA,"Slovenia","MATERIAL_SAMPLE",45.35,14.35,97.21,178,64,210,187,210,187
