latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved,BelgiumCoast_seaway,Gdynia_seaway,Koster_seaway,Limfjord_seaway,SWC_seaway,TZS_seaway,Toralla_seaway,BelgiumCoast_geodesic,Gdynia_geodesic,Koster_geodesic,Limfjord_geodesic,SWC_geodesic,TZS_geodesic,Toralla_geodesic
36.9964,-6.4173,,,Spain,OCCURRENCE,36.95,-6.54999999999998,12.88,2268,3799,3204,2984,3179,4229,810,1775,2735,2752,2503,2668,3313,616
50.395606,-4.208107,,,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.395606,-4.208107,0,576,2107,1512,1292,1487,2536,1007,528,1611,1361,1134,1317,2021,973
50.49402,-4.220885,1996,6,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.35,-4.25,16.16,576,2107,1512,1292,1487,2536,1007,533,1616,1367,1140,1322,2027,967
50.49402,-4.220885,1996,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.35,-4.25,16.16,576,2107,1512,1292,1487,2536,1007,533,1616,1367,1140,1322,2027,967
50.665335,-3.467866,1996,5,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.665335,-3.467866,0,507,2038,1443,1223,1418,2468,1068,471,1551,1304,1076,1258,1962,1022
50.665335,-3.467866,1994,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.665335,-3.467866,0,507,2038,1443,1223,1418,2468,1068,471,1551,1304,1076,1258,1962,1022
50.665335,-3.467866,1994,10,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.665335,-3.467866,0,507,2038,1443,1223,1418,2468,1068,471,1551,1304,1076,1258,1962,1022
50.81,-1.23,1996,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.75,-1.14999999999998,8.74,333,1864,1269,1049,1243,2293,1177,309,1398,1196,957,1137,1835,1112
51.034847,4.105823,1996,3,Belgium,OCCURRENCE,51.35,4.25,36.5,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.034847,4.105823,1995,8,Belgium,OCCURRENCE,51.35,4.25,36.5,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.049152,4.060539,1996,3,Belgium,OCCURRENCE,51.35,4.25,36,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.05313,4.132248,1996,3,Belgium,OCCURRENCE,51.35,4.25,34.05,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.082222,4.366111,1995,8,Belgium,OCCURRENCE,51.35,4.25,30.89,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.121445,4.219643,1996,3,Belgium,OCCURRENCE,51.35,4.25,25.53,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.121445,4.219643,1995,8,Belgium,OCCURRENCE,51.35,4.25,25.53,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.169005,-4.238288,2023,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,51.25,-4.25,9.05,823,2354,1759,1539,1734,2783,1098,516,1576,1292,1071,1254,1961,1060
51.175823,4.327717,1996,3,Belgium,OCCURRENCE,51.35,4.25,20.13,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.223267,4.394064,1995,8,Belgium,OCCURRENCE,51.35,4.25,17.31,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.223267,4.394064,1995,8,Belgium,OCCURRENCE,51.35,4.25,17.31,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.223267,4.394064,1995,8,Belgium,OCCURRENCE,51.35,4.25,17.31,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.22327,4.394064,1996,3,Belgium,OCCURRENCE,51.35,4.25,17.31,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.22327,4.394064,1996,3,Belgium,OCCURRENCE,51.35,4.25,17.31,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.22835,2.9518,1962,,Belgium,OCCURRENCE,51.25,2.85000000000002,7.49,25,1595,1002,778,975,2025,1460,24,1120,998,748,917,1593,1337
51.22835,2.9518,1961,,Belgium,OCCURRENCE,51.25,2.85000000000002,7.49,25,1595,1002,778,975,2025,1460,24,1120,998,748,917,1593,1337
51.252205,4.322323,1995,12,Belgium,OCCURRENCE,51.35,4.25,11.99,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26238,-3.47134,2022,12,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,51.26238,-3.47134,0,877,2408,1813,1593,1787,2837,1152,462,1525,1254,1030,1213,1919,1082
51.26397,4.302569,1995,8,Belgium,OCCURRENCE,51.35,4.25,10.25,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26397,4.302569,1995,8,Belgium,OCCURRENCE,51.35,4.25,10.25,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26397,4.302569,1995,10,Belgium,OCCURRENCE,51.35,4.25,10.25,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26397,4.302569,1995,10,Belgium,OCCURRENCE,51.35,4.25,10.25,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26397,4.302569,1995,10,Belgium,OCCURRENCE,51.35,4.25,10.25,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26649,4.304915,1995,8,Belgium,OCCURRENCE,51.35,4.25,10.05,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.26649,4.304915,1995,8,Belgium,OCCURRENCE,51.35,4.25,10.05,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.291542,4.313483,1995,8,Belgium,OCCURRENCE,51.35,4.25,7.86,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
51.291542,4.313483,1995,8,Belgium,OCCURRENCE,51.35,4.25,7.86,104,1563,969,746,943,1992,1586,77,1026,944,693,854,1517,1416
