latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved
27.883697,-15.723984,2011,12,Spain,HUMAN_OBSERVATION,27.85,-15.85,12.96
35.343153,25.136605,,,Greece,OCCURRENCE,35.343153,25.136605,0
35.343153,25.136605,,,Greece,OCCURRENCE,35.343153,25.136605,0
36.013699,-5.584059,2018,1,Spain,HUMAN_OBSERVATION,35.95,-5.54999999999998,7.73
36.088415,-5.441864,2013,12,Spain,HUMAN_OBSERVATION,36.088415,-5.441864,0
36.088523,-5.441912,2013,12,Spain,HUMAN_OBSERVATION,36.088523,-5.441912,0
36.726609,-3.955932,2011,4,Spain,HUMAN_OBSERVATION,36.65,-3.94999999999999,8.54
36.742475,-6.43452,2017,9,Spain,HUMAN_OBSERVATION,36.742475,-6.43452,0
36.742475,-6.43452,2017,9,Spain,HUMAN_OBSERVATION,36.742475,-6.43452,0
36.969965,-7.923861,2021,10,Portugal,HUMAN_OBSERVATION,36.969965,-7.923861,0
36.990708,-7.967555,2019,4,Portugal,HUMAN_OBSERVATION,36.990708,-7.967555,0
36.995899,-7.975131,2024,6,Portugal,HUMAN_OBSERVATION,36.995899,-7.975131,0
37.004527,-7.988183,2024,7,Portugal,HUMAN_OBSERVATION,36.95,-7.94999999999999,6.96
37.010922,-7.93415,2019,3,Portugal,HUMAN_OBSERVATION,36.95,-7.94999999999999,6.93
37.010922,-7.93415,2019,3,Portugal,HUMAN_OBSERVATION,36.95,-7.94999999999999,6.93
37.013447,-7.794993,2023,8,Portugal,HUMAN_OBSERVATION,36.95,-7.75,8.12
37.019465,-8.926838,2020,12,Portugal,HUMAN_OBSERVATION,36.95,-8.94999999999999,8
37.020389,-8.012431,2024,10,Portugal,HUMAN_OBSERVATION,36.95,-8.04999999999998,8.52
37.02345,-7.837512,2019,4,Portugal,HUMAN_OBSERVATION,36.95,-7.84999999999999,8.25
37.02546,-8.018066,2008,7,Portugal,HUMAN_OBSERVATION,36.95,-8.04999999999998,8.87
37.02546,-8.018066,2008,7,Portugal,HUMAN_OBSERVATION,36.95,-8.04999999999998,8.87
37.029858,-7.819628,2021,2,Portugal,HUMAN_OBSERVATION,36.95,-7.84999999999999,9.29
37.118288,-7.620967,2019,6,Portugal,HUMAN_OBSERVATION,37.15,-7.54999999999998,7.22
37.118288,-7.620967,,,Portugal,HUMAN_OBSERVATION,37.15,-7.54999999999998,7.22
37.131651,-8.612527,2021,8,Portugal,HUMAN_OBSERVATION,37.05,-8.64999999999998,9.68
37.387899,-1.611191,2011,7,Spain,HUMAN_OBSERVATION,37.387899,-1.611191,0
37.658699,-0.807857,2012,2,Spain,HUMAN_OBSERVATION,37.65,-0.75,5.19
38.301792,-0.518417,2013,4,Spain,HUMAN_OBSERVATION,38.35,-0.449999999999989,8.03
38.362777,-0.44214,2011,8,Spain,HUMAN_OBSERVATION,38.362777,-0.44214,0
38.362777,-0.44214,2011,8,Spain,HUMAN_OBSERVATION,38.362777,-0.44214,0
39.400866,-9.219703,2022,6,Portugal,HUMAN_OBSERVATION,39.400866,-9.219703,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE,39.675293,-7.933662,0
