latitude,longitude,latitude.20,longitude.20,latitude_moved,longitude_moved,dist_moved,latitude.19,longitude.19,i.latitude_moved,i.longitude_moved,i.dist_moved,latitude.18,longitude.18,i.latitude_moved.23,i.longitude_moved.23,i.dist_moved.23,latitude.17,longitude.17,i.latitude_moved.22,i.longitude_moved.22,i.dist_moved.22,latitude.16,longitude.16,i.latitude_moved.21,i.longitude_moved.21,i.dist_moved.21,latitude.15,longitude.15,i.latitude_moved.20,i.longitude_moved.20,i.dist_moved.20,latitude.14,longitude.14,i.latitude_moved.19,i.longitude_moved.19,i.dist_moved.19,latitude.13,longitude.13,i.latitude_moved.18,i.longitude_moved.18,i.dist_moved.18,latitude.12,longitude.12,i.latitude_moved.17,i.longitude_moved.17,i.dist_moved.17,latitude.11,longitude.11,i.latitude_moved.16,i.longitude_moved.16,i.dist_moved.16,latitude_moved.x,longitude_moved.x,dist_moved.x,i.latitude_moved.15,i.longitude_moved.15,i.dist_moved.15,latitude.10,longitude.10,i.latitude_moved.13,i.longitude_moved.13,i.dist_moved.13,latitude.9,longitude.9,i.latitude_moved.12,i.longitude_moved.12,i.dist_moved.12,latitude.8,longitude.8,i.latitude_moved.11,i.longitude_moved.11,i.dist_moved.11,latitude.7,longitude.7,i.latitude_moved.10,i.longitude_moved.10,i.dist_moved.10,i.latitude_moved.9,i.longitude_moved.9,i.dist_moved.9,i.latitude_moved.8,i.longitude_moved.8,i.dist_moved.8,latitude.6,longitude.6,i.latitude_moved.7,i.longitude_moved.7,i.dist_moved.7,latitude.5,longitude.5,i.latitude_moved.6,i.longitude_moved.6,i.dist_moved.6,latitude.4,longitude.4,i.latitude_moved.5,i.longitude_moved.5,i.dist_moved.5,latitude.3,longitude.3,i.latitude_moved.4,i.longitude_moved.4,i.dist_moved.4,latitude.2,longitude.2,i.latitude_moved.3,i.longitude_moved.3,i.dist_moved.3,latitude.1,longitude.1,i.latitude_moved.2,i.longitude_moved.2,i.dist_moved.2,year,month,country,basisOfRecord,i.latitude_moved.1,i.longitude_moved.1,i.dist_moved.1,BelgiumCoast_seaway,BelgiumCoast_geodesic,Gdynia_seaway,Gdynia_geodesic,Koster_seaway,Koster_geodesic,Limfjord_seaway,Limfjord_geodesic,SWC_seaway,SWC_geodesic,TZS_seaway,TZS_geodesic,Toralla_seaway,Toralla_geodesic,latitude_moved.y,longitude_moved.y,dist_moved.y,GulfofPiran_seaway.x,GulfofPiran_geodesic.x,RavennaH_seaway.x,RavennaH_geodesic.x,RavennaM_seaway.x,RavennaM_geodesic.x,latitude_moved.x.x,longitude_moved.x.x,dist_moved.x.x,GulfofPiran_seaway.y,GulfofPiran_geodesic.y,RavennaH_seaway.y,RavennaH_geodesic.y,RavennaM_seaway.y,RavennaM_geodesic.y,latitude_moved.y.y,longitude_moved.y.y,dist_moved.y.y,GulfofPiran_seaway.x.x,GulfofPiran_geodesic.x.x,RavennaH_seaway.x.x,RavennaH_geodesic.x.x,RavennaM_seaway.x.x,RavennaM_geodesic.x.x,latitude_moved.x.x.x,longitude_moved.x.x.x,dist_moved.x.x.x,GulfofPiran_seaway.y.y,GulfofPiran_geodesic.y.y,RavennaH_seaway.y.y,RavennaH_geodesic.y.y,RavennaM_seaway.y.y,RavennaM_geodesic.y.y,latitude_moved.y.y.y,longitude_moved.y.y.y,dist_moved.y.y.y,GulfofPiran_seaway.x.x.x,GulfofPiran_geodesic.x.x.x,RavennaH_seaway.x.x.x,RavennaH_geodesic.x.x.x,RavennaM_seaway.x.x.x,RavennaM_geodesic.x.x.x,latitude_moved.x.x.x.x,longitude_moved.x.x.x.x,dist_moved.x.x.x.x,GulfofPiran_seaway.y.y.y,GulfofPiran_geodesic.y.y.y,RavennaH_seaway.y.y.y,RavennaH_geodesic.y.y.y,RavennaM_seaway.y.y.y,RavennaM_geodesic.y.y.y,latitude_moved.y.y.y.y,longitude_moved.y.y.y.y,dist_moved.y.y.y.y,GulfofPiran_seaway.x.x.x.x,GulfofPiran_geodesic.x.x.x.x,RavennaH_seaway.x.x.x.x,RavennaH_geodesic.x.x.x.x,RavennaM_seaway.x.x.x.x,RavennaM_geodesic.x.x.x.x,latitude_moved.x.x.x.x.x,longitude_moved.x.x.x.x.x,dist_moved.x.x.x.x.x,GulfofPiran_seaway.y.y.y.y,GulfofPiran_geodesic.y.y.y.y,RavennaH_seaway.y.y.y.y,RavennaH_geodesic.y.y.y.y,RavennaM_seaway.y.y.y.y,RavennaM_geodesic.y.y.y.y,latitude_moved.y.y.y.y.y,longitude_moved.y.y.y.y.y,dist_moved.y.y.y.y.y,GulfofPiran_seaway.x.x.x.x.x,GulfofPiran_geodesic.x.x.x.x.x,RavennaH_seaway.x.x.x.x.x,RavennaH_geodesic.x.x.x.x.x,RavennaM_seaway.x.x.x.x.x,RavennaM_geodesic.x.x.x.x.x,latitude_moved.x.x.x.x.x.x,longitude_moved.x.x.x.x.x.x,dist_moved.x.x.x.x.x.x,GulfofPiran_seaway.y.y.y.y.y,GulfofPiran_geodesic.y.y.y.y.y,RavennaH_seaway.y.y.y.y.y,RavennaH_geodesic.y.y.y.y.y,RavennaM_seaway.y.y.y.y.y,RavennaM_geodesic.y.y.y.y.y,latitude_moved.y.y.y.y.y.y,longitude_moved.y.y.y.y.y.y,dist_moved.y.y.y.y.y.y,GulfofPiran_seaway.x.x.x.x.x.x,GulfofPiran_geodesic.x.x.x.x.x.x,RavennaH_seaway.x.x.x.x.x.x,RavennaH_geodesic.x.x.x.x.x.x,RavennaM_seaway.x.x.x.x.x.x,RavennaM_geodesic.x.x.x.x.x.x,i.latitude_moved.14,i.longitude_moved.14,i.dist_moved.14,GulfofPiran_seaway.y.y.y.y.y.y,GulfofPiran_geodesic.y.y.y.y.y.y,RavennaH_seaway.y.y.y.y.y.y,RavennaH_geodesic.y.y.y.y.y.y,RavennaM_seaway.y.y.y.y.y.y,RavennaM_geodesic.y.y.y.y.y.y
69.55,18.65,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,0,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,0,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,2024,2,Norway,HUMAN_OBSERVATION,,,,2280,2185,2508,1683,1866,1243,1759,1486,1879,1365,2938,1104,3609,3426,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818
69.7544,19.77006,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,2024,3,Norway,HUMAN_OBSERVATION,,,,2380,2226,2608,1707,1966,1280,1859,1525,1979,1400,3038,1117,3704,3472,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849
69.7544,19.77006,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,2024,4,Norway,HUMAN_OBSERVATION,,,,2380,2226,2608,1707,1966,1280,1859,1525,1979,1400,3038,1117,3704,3472,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849
69.55,18.65,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,0,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,0,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,69.55,18.65,69.55,18.65,0,2024,5,Norway,HUMAN_OBSERVATION,,,,2280,2185,2508,1683,1866,1243,1759,1486,1879,1365,2938,1104,3609,3426,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818,,,,7590,2691,7557,2818,7557,2818
69.7544,19.77006,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,69.7544,19.77006,69.7544,19.77006,0,2024,11,Norway,HUMAN_OBSERVATION,,,,2380,2226,2608,1707,1966,1280,1859,1525,1979,1400,3038,1117,3704,3472,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849,,,,7685,2721,7652,2849,7652,2849
65.54835,22.23633,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,0,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,0,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,65.54835,22.23633,65.54835,22.23633,0,2023,1,Sweden,HUMAN_OBSERVATION,,,,2506,1918,1259,1252,1742,940,1761,1191,1603,1036,698,638,3944,3232,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426,,,,7924,2291,7891,2426,7891,2426
65.23375,21.62991,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.15,21.65,9.37,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.15,21.65,9.37,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,2023,1,Sweden,HUMAN_OBSERVATION,65.15,21.65,9.37,2456,1867,1211,1204,1693,889,1712,1139,1553,984,651,597,3895,3183,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375
64.68461,21.22362,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,0,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,0,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,64.68461,21.22362,64.68461,21.22362,0,2023,1,Sweden,HUMAN_OBSERVATION,,,,2409,1815,1163,1149,1645,837,1664,1088,1505,931,603,550,3847,3135,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319,,,,7827,2185,7794,2319,7794,2319
65.23375,21.62991,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.15,21.65,9.37,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.15,21.65,9.37,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,65.23375,21.62991,65.15,21.65,9.37,2023,1,Sweden,HUMAN_OBSERVATION,65.15,21.65,9.37,2456,1867,1211,1204,1693,889,1712,1139,1553,984,651,597,3895,3183,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375,65.15,21.65,9.37,7875,2241,7842,2375,7842,2375
59.29732,18.64977,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,0,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,0,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,59.29732,18.64977,59.29732,18.64977,0,2023,1,Sweden,HUMAN_OBSERVATION,,,,1777,1317,539,540,1014,435,1032,625,874,442,286,267,3216,2675,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706,,,,7196,1571,7163,1706,7163,1706
