Specieslist;BelgiumCoast;Bodo;Crete;Eilat;Galway;Gdynia;Getxo;GulfofPiran;Koster;Laeso;Limfjord;Plymouth;RavennaH;RavennaM;Roscoff;SWC;Svalbard;TZS;Toralla
Acartia tonsa;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1
Amphibalanus amphitrite;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Amphibalanus eburneus;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Amphibalanus improvisus;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1
Amphibalanus sp.;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Apionsoma (Apionsoma) misakianum;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Arcuatula senhousia;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ascidiella aspersa;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0
Asparagopsis armata;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Asparagopsis taxiformis;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Aurelia solida;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
Austrominius modestus;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0
Balanus trigonus;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1
Boccardia proboscidea;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bonnemaisonia hamifera;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1
Botrylloides violaceus;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bugula neritina;0;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0
Caprella mutica;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0
Caprella scaura;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0
Celleporaria brunnea;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cephalothrix simula;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cordylophora caspia;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Corella eumyota;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0
Corella sp.;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1
Crepidula fornicata;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
Cutleria multifida;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1
Dasysiphonia japonica;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1
Dreisseninae sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Eucheilota menoni;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
