latitude,longitude,year,month,country,basisOfRecord
36.9964,-6.4173,,,Spain,OCCURRENCE
50.395606,-4.208107,,,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.49402,-4.220885,1996,6,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.49402,-4.220885,1996,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.665335,-3.467866,1996,5,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.665335,-3.467866,1994,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.665335,-3.467866,1994,10,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.81,-1.23,1996,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
51.034847,4.105823,1996,3,Belgium,OCCURRENCE
51.034847,4.105823,1995,8,Belgium,OCCURRENCE
51.049152,4.060539,1996,3,Belgium,OCCURRENCE
51.05313,4.132248,1996,3,Belgium,OCCURRENCE
51.082222,4.366111,1995,8,Belgium,OCCURRENCE
51.121445,4.219643,1996,3,Belgium,OCCURRENCE
51.121445,4.219643,1995,8,Belgium,OCCURRENCE
51.169005,-4.238288,2023,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
51.175823,4.327717,1996,3,Belgium,OCCURRENCE
51.223267,4.394064,1995,8,Belgium,OCCURRENCE
51.223267,4.394064,1995,8,Belgium,OCCURRENCE
51.223267,4.394064,1995,8,Belgium,OCCURRENCE
51.22327,4.394064,1996,3,Belgium,OCCURRENCE
51.22327,4.394064,1996,3,Belgium,OCCURRENCE
51.22835,2.9518,1962,,Belgium,OCCURRENCE
51.22835,2.9518,1961,,Belgium,OCCURRENCE
51.252205,4.322323,1995,12,Belgium,OCCURRENCE
51.26238,-3.47134,2022,12,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
51.26397,4.302569,1995,8,Belgium,OCCURRENCE
51.26397,4.302569,1995,8,Belgium,OCCURRENCE
