latitude,longitude,year,month,country,basisOfRecord
27.883697,-15.723984,2011,12,Spain,HUMAN_OBSERVATION
35.343153,25.136605,,,Greece,OCCURRENCE
35.343153,25.136605,,,Greece,OCCURRENCE
36.013699,-5.584059,2018,1,Spain,HUMAN_OBSERVATION
36.088415,-5.441864,2013,12,Spain,HUMAN_OBSERVATION
36.088523,-5.441912,2013,12,Spain,HUMAN_OBSERVATION
36.726609,-3.955932,2011,4,Spain,HUMAN_OBSERVATION
36.742475,-6.43452,2017,9,Spain,HUMAN_OBSERVATION
36.742475,-6.43452,2017,9,Spain,HUMAN_OBSERVATION
36.969965,-7.923861,2021,10,Portugal,HUMAN_OBSERVATION
36.990708,-7.967555,2019,4,Portugal,HUMAN_OBSERVATION
36.995899,-7.975131,2024,6,Portugal,HUMAN_OBSERVATION
37.004527,-7.988183,2024,7,Portugal,HUMAN_OBSERVATION
37.010922,-7.93415,2019,3,Portugal,HUMAN_OBSERVATION
37.010922,-7.93415,2019,3,Portugal,HUMAN_OBSERVATION
37.013447,-7.794993,2023,8,Portugal,HUMAN_OBSERVATION
37.019465,-8.926838,2020,12,Portugal,HUMAN_OBSERVATION
37.020389,-8.012431,2024,10,Portugal,HUMAN_OBSERVATION
37.02345,-7.837512,2019,4,Portugal,HUMAN_OBSERVATION
37.02546,-8.018066,2008,7,Portugal,HUMAN_OBSERVATION
37.02546,-8.018066,2008,7,Portugal,HUMAN_OBSERVATION
37.029858,-7.819628,2021,2,Portugal,HUMAN_OBSERVATION
37.118288,-7.620967,2019,6,Portugal,HUMAN_OBSERVATION
37.118288,-7.620967,,,Portugal,HUMAN_OBSERVATION
37.131651,-8.612527,2021,8,Portugal,HUMAN_OBSERVATION
37.387899,-1.611191,2011,7,Spain,HUMAN_OBSERVATION
37.658699,-0.807857,2012,2,Spain,HUMAN_OBSERVATION
38.301792,-0.518417,2013,4,Spain,HUMAN_OBSERVATION
38.362777,-0.44214,2011,8,Spain,HUMAN_OBSERVATION
38.362777,-0.44214,2011,8,Spain,HUMAN_OBSERVATION
39.400866,-9.219703,2022,6,Portugal,HUMAN_OBSERVATION
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.740706,3.215654,2018,11,Spain,HUMAN_OBSERVATION
40.302455,-3.441925,2015,2,Spain,HUMAN_OBSERVATION
40.526568,0.515696,2011,11,Spain,HUMAN_OBSERVATION
40.559116,-8.758983,2024,3,Portugal,HUMAN_OBSERVATION
40.565436,-8.756697,2023,8,Portugal,HUMAN_OBSERVATION
40.647599,-8.654172,2016,6,Portugal,HUMAN_OBSERVATION
40.647599,-8.654172,2016,6,Portugal,HUMAN_OBSERVATION
40.64895,-8.648522,2019,9,Portugal,HUMAN_OBSERVATION
40.812344,0.707101,2015,1,Spain,HUMAN_OBSERVATION
40.812344,0.707101,2015,1,Spain,HUMAN_OBSERVATION
40.835278,24.333611,1998,8,Greece,HUMAN_OBSERVATION
40.938817,0.852357,2011,4,Spain,HUMAN_OBSERVATION
40.950082,19.479998,2022,5,Albania,HUMAN_OBSERVATION
41.387917,2.169919,2010,7,Spain,HUMAN_OBSERVATION
41.387917,2.169919,2010,7,Spain,HUMAN_OBSERVATION
41.387917,2.169919,2010,7,Spain,HUMAN_OBSERVATION
41.434675,2.242603,2012,3,Spain,HUMAN_OBSERVATION
