latitude,longitude,year,month,country,basisOfRecord
38.455162,23.579903,1970,,Greece,HUMAN_OBSERVATION
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
43.2746,3.50721,1952,11,France,HUMAN_OBSERVATION
43.437715,5.19538,2025,3,France,HUMAN_OBSERVATION
43.437885,5.19505,2023,11,France,HUMAN_OBSERVATION
43.438825,5.195091,2024,6,France,HUMAN_OBSERVATION
43.463132,5.223977,2024,10,France,HUMAN_OBSERVATION
43.463132,5.223977,2024,10,France,HUMAN_OBSERVATION
43.48906,5.00186,2020,5,France,HUMAN_OBSERVATION
43.489817,5.200922,2022,8,France,HUMAN_OBSERVATION
43.50727,4.16641,2022,11,France,HUMAN_OBSERVATION
43.526414,5.06819,2022,9,France,HUMAN_OBSERVATION
43.535372,5.032106,2021,4,France,HUMAN_OBSERVATION
43.535719,5.032886,2021,4,France,HUMAN_OBSERVATION
44.221828,12.386013,2018,2,Italy,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.96088,-1.2146,2011,4,France,HUMAN_OBSERVATION
46.063611,30.470278,2019,9,Ukraine,MATERIAL_SAMPLE
46.2687,-1.2835,2010,3,France,HUMAN_OBSERVATION
47.5628,-2.84902,2022,5,France,HUMAN_OBSERVATION
48.0897,-4.49269,2014,5,France,HUMAN_OBSERVATION
48.0897,-4.49269,2014,5,France,HUMAN_OBSERVATION
48.491216,-2.004067,2024,1,France,HUMAN_OBSERVATION
53.1,4.7,2021,1,Netherlands,HUMAN_OBSERVATION
