latitude,longitude,year,month,country,basisOfRecord
38.433059,-9.081321,1984,,Portugal,OCCURRENCE
40.492806,22.818203,2023,11,Greece,HUMAN_OBSERVATION
41.84841,48.582969,2023,2,Azerbaijan,HUMAN_OBSERVATION
41.931086,48.394918,2021,3,Russian Federation,HUMAN_OBSERVATION
41.94483,48.37579,2023,9,Russian Federation,HUMAN_OBSERVATION
42.057044,48.310637,2023,2,Russian Federation,HUMAN_OBSERVATION
42.282291,27.752408,2022,2,Bulgaria,HUMAN_OBSERVATION
42.685646,47.727987,2022,11,Russian Federation,HUMAN_OBSERVATION
42.686522,47.727341,2022,11,Russian Federation,HUMAN_OBSERVATION
42.686528,47.727347,2022,11,Russian Federation,HUMAN_OBSERVATION
42.850311,27.886138,2022,7,Bulgaria,HUMAN_OBSERVATION
43.208887,27.93839,2023,4,Bulgaria,HUMAN_OBSERVATION
44.443369,28.782192,2023,8,Romania,HUMAN_OBSERVATION
44.632563,34.389654,2024,1,Ukraine,HUMAN_OBSERVATION
44.801754,12.268871,2022,9,Italy,HUMAN_OBSERVATION
44.80331,12.412627,2022,8,Italy,HUMAN_OBSERVATION
44.817814,35.116094,2022,2,Ukraine,HUMAN_OBSERVATION
44.819194,34.833522,2022,3,Ukraine,HUMAN_OBSERVATION
44.855724,37.334312,2023,4,Russian Federation,HUMAN_OBSERVATION
44.978687,37.25455,2024,1,Russian Federation,HUMAN_OBSERVATION
44.980148,37.251796,2022,1,Russian Federation,HUMAN_OBSERVATION
44.987067,37.240258,2023,7,Russian Federation,HUMAN_OBSERVATION
45.017174,35.417599,2022,7,Ukraine,HUMAN_OBSERVATION
45.035372,37.13425,2023,12,Russian Federation,HUMAN_OBSERVATION
45.036865,37.129822,2023,12,Russian Federation,HUMAN_OBSERVATION
45.040585,37.11949,2023,12,Russian Federation,HUMAN_OBSERVATION
45.04296,37.112473,2023,12,Russian Federation,HUMAN_OBSERVATION
45.050596,36.253679,2021,7,Ukraine,HUMAN_OBSERVATION
45.055818,37.071883,2023,12,Russian Federation,HUMAN_OBSERVATION
45.069533,37.021425,2023,12,Russian Federation,HUMAN_OBSERVATION
45.069557,37.021427,2023,12,Russian Federation,HUMAN_OBSERVATION
45.069757,37.079202,2022,5,Russian Federation,HUMAN_OBSERVATION
45.077379,36.994496,2024,9,Russian Federation,HUMAN_OBSERVATION
45.120444,36.71502,2023,7,Russian Federation,HUMAN_OBSERVATION
45.214578,36.748853,2023,6,Russian Federation,HUMAN_OBSERVATION
45.237568,36.421125,2021,7,Ukraine,HUMAN_OBSERVATION
45.246782,29.740744,2008,5,Ukraine,MATERIAL_SAMPLE
45.273794,12.30532,2022,8,Italy,HUMAN_OBSERVATION
45.298611,29.773889,2019,9,Ukraine,MATERIAL_SAMPLE
45.298611,29.773889,2019,9,Ukraine,MATERIAL_SAMPLE
45.31677,12.316763,2024,7,Italy,HUMAN_OBSERVATION
45.31677,12.316763,2024,7,Italy,HUMAN_OBSERVATION
45.328374,29.79078,2013,9,Ukraine,MATERIAL_SAMPLE
45.331792,37.24136,2024,7,Russian Federation,HUMAN_OBSERVATION
45.334782,29.780416,2014,8,Ukraine,MATERIAL_SAMPLE
45.344778,37.142775,2024,8,Russian Federation,HUMAN_OBSERVATION
45.356897,37.107153,2022,6,Russian Federation,HUMAN_OBSERVATION
45.357793,37.102826,2022,6,Russian Federation,HUMAN_OBSERVATION
45.455464,29.647379,2012,10,Ukraine,MATERIAL_SAMPLE
45.465255,29.644309,2015,7,Ukraine,MATERIAL_SAMPLE
45.465255,29.644309,2012,5,Ukraine,MATERIAL_SAMPLE
45.465255,29.644309,2012,10,Ukraine,MATERIAL_SAMPLE
45.467772,29.680687,2012,10,Ukraine,MATERIAL_SAMPLE
45.471808,36.191044,2022,5,Ukraine,HUMAN_OBSERVATION
45.603056,29.783889,2019,9,Ukraine,MATERIAL_SAMPLE
45.603056,29.783889,2019,9,Ukraine,MATERIAL_SAMPLE
45.624283,12.983806,2022,9,Italy,HUMAN_OBSERVATION
46.221944,31.666944,2019,9,Ukraine,MATERIAL_SAMPLE
46.393333,31.724167,2019,9,Ukraine,MATERIAL_SAMPLE
46.454571,30.768574,2022,11,Ukraine,HUMAN_OBSERVATION
46.456933,30.7674,2023,8,Ukraine,HUMAN_OBSERVATION
46.464345,30.763035,2022,12,Ukraine,HUMAN_OBSERVATION
46.466011,30.763178,2022,11,Ukraine,HUMAN_OBSERVATION
46.466769,30.763016,2023,1,Ukraine,HUMAN_OBSERVATION
46.468166,30.763715,2023,9,Ukraine,HUMAN_OBSERVATION
46.475353,30.76582,2024,10,Ukraine,HUMAN_OBSERVATION
46.494167,30.749278,2019,10,Ukraine,MATERIAL_SAMPLE
46.544301,30.750606,2024,12,Ukraine,HUMAN_OBSERVATION
46.554834,30.846666,2023,2,Ukraine,HUMAN_OBSERVATION
46.557013,30.770412,2021,1,Ukraine,HUMAN_OBSERVATION
46.559157,30.865566,2024,12,Ukraine,HUMAN_OBSERVATION
46.606907,37.780862,2022,7,Russian Federation,HUMAN_OBSERVATION
46.611389,31.461389,2019,9,Ukraine,MATERIAL_SAMPLE
46.611389,31.461389,2019,9,Ukraine,MATERIAL_SAMPLE
46.715469,38.255916,2022,8,Russian Federation,HUMAN_OBSERVATION
47.071705,31.909138,2025,5,Ukraine,HUMAN_OBSERVATION
47.116113,38.563331,2025,3,Russian Federation,HUMAN_OBSERVATION
47.174253,38.865878,2023,9,Russian Federation,HUMAN_OBSERVATION
51.03528,4.95133,2024,9,Belgium,HUMAN_OBSERVATION
51.09227,2.5545,2022,12,Belgium,HUMAN_OBSERVATION
51.15424,2.71959,2023,11,Belgium,HUMAN_OBSERVATION
51.16722,2.75783,2022,11,Belgium,HUMAN_OBSERVATION
51.2082,3.8059,2024,10,Belgium,HUMAN_OBSERVATION
51.2082,3.8059,2024,10,Belgium,HUMAN_OBSERVATION
51.2082,3.8059,2024,10,Belgium,HUMAN_OBSERVATION
51.21952,2.94844,2021,4,Belgium,HUMAN_OBSERVATION
51.22082,2.8821,2024,7,Belgium,HUMAN_OBSERVATION
51.22151,3.22444,2021,5,Belgium,HUMAN_OBSERVATION
51.22797,2.952682,,,Belgium,OCCURRENCE
51.22825,2.9243,2023,6,Belgium,HUMAN_OBSERVATION
51.22835,2.9518,1962,,Belgium,OCCURRENCE
51.22835,2.9518,1961,,Belgium,OCCURRENCE
51.23112,4.96028,2024,7,Belgium,HUMAN_OBSERVATION
51.231309,2.929259,1965,,Belgium,OCCURRENCE
51.231343,2.928659,1965,,Belgium,OCCURRENCE
51.23155,2.925211,1964,,Belgium,OCCURRENCE
51.23601,2.9296,2024,1,Belgium,HUMAN_OBSERVATION
51.26935,3.21353,2025,5,Belgium,HUMAN_OBSERVATION
51.27184,3.2136,2025,1,Belgium,HUMAN_OBSERVATION
51.27286,4.32457,2025,3,Belgium,HUMAN_OBSERVATION
51.28236,4.32017,2023,9,Belgium,HUMAN_OBSERVATION
51.2877,4.24058,2023,5,Belgium,HUMAN_OBSERVATION
51.2877,4.24058,2023,5,Belgium,HUMAN_OBSERVATION
51.29464,3.20713,2021,1,Belgium,HUMAN_OBSERVATION
51.29466,3.20719,2024,1,Belgium,HUMAN_OBSERVATION
51.29468,3.20722,2024,3,Belgium,HUMAN_OBSERVATION
51.3,3.85,2025,2,Netherlands,HUMAN_OBSERVATION
51.3,3.85,2023,2,Netherlands,HUMAN_OBSERVATION
51.30298,4.28767,2022,3,Belgium,HUMAN_OBSERVATION
51.30354,4.28832,2022,3,Belgium,HUMAN_OBSERVATION
51.305,4.28764,2022,3,Belgium,HUMAN_OBSERVATION
51.30501,4.28824,2022,7,Belgium,HUMAN_OBSERVATION
51.30768,3.11482,2024,7,Belgium,HUMAN_OBSERVATION
51.30783,4.28103,2023,5,Belgium,HUMAN_OBSERVATION
51.3175,3.12211,2024,2,Belgium,HUMAN_OBSERVATION
51.31997,3.13334,2024,7,Belgium,HUMAN_OBSERVATION
51.33302,3.20119,2022,8,Belgium,HUMAN_OBSERVATION
51.3383,3.17609,2023,9,Belgium,HUMAN_OBSERVATION
51.342317,3.058917,2021,9,Belgium,MATERIAL_SAMPLE
51.346302,0.973896,2011,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
51.346302,0.973896,2011,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
51.34651,3.26435,2023,9,Belgium,HUMAN_OBSERVATION
51.35,3.75,2023,4,Netherlands,HUMAN_OBSERVATION
51.35,3.85,2023,9,Netherlands,HUMAN_OBSERVATION
51.35,3.9,2023,2,Netherlands,HUMAN_OBSERVATION
51.35,3.9,2023,9,Netherlands,HUMAN_OBSERVATION
51.35,3.9,2022,11,Netherlands,HUMAN_OBSERVATION
51.35791,3.35626,2023,8,Belgium,HUMAN_OBSERVATION
51.36002,3.35311,2022,2,Belgium,HUMAN_OBSERVATION
51.36009,3.35333,2022,2,Belgium,HUMAN_OBSERVATION
51.36204,3.36365,2023,9,Belgium,HUMAN_OBSERVATION
51.36208,3.36298,2023,9,Belgium,HUMAN_OBSERVATION
51.364298,3.20701,,,Belgium,OCCURRENCE
51.4,3.55,2023,2,Netherlands,HUMAN_OBSERVATION
51.445133,3.91425,,,Netherlands,OCCURRENCE
51.498054,-9.278807,2024,10,Ireland,HUMAN_OBSERVATION
51.5,3.6,2023,4,Netherlands,HUMAN_OBSERVATION
51.5,4,2023,5,Netherlands,HUMAN_OBSERVATION
51.5,4.05,2023,4,Netherlands,HUMAN_OBSERVATION
51.55,4,2023,5,Netherlands,HUMAN_OBSERVATION
51.6,3.65,2021,3,Netherlands,HUMAN_OBSERVATION
51.6,3.7,2023,10,Netherlands,HUMAN_OBSERVATION
51.6,4.05,2023,4,Netherlands,HUMAN_OBSERVATION
51.8,3.95,2021,6,Netherlands,HUMAN_OBSERVATION
51.9,4.35,2021,6,Netherlands,HUMAN_OBSERVATION
52.4,4.75,2021,3,Netherlands,HUMAN_OBSERVATION
52.4,4.85,2022,8,Netherlands,HUMAN_OBSERVATION
52.455,4.556,2021,1,Netherlands,HUMAN_OBSERVATION
52.49,4.58,2021,4,Netherlands,HUMAN_OBSERVATION
52.684,4.632,2023,11,Netherlands,HUMAN_OBSERVATION
52.684,4.632,2021,1,Netherlands,HUMAN_OBSERVATION
52.93,4.71,2022,1,Netherlands,HUMAN_OBSERVATION
52.94697,1.17411,2024,12,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
53.17,5.413,2014,10,Netherlands,MATERIAL_SAMPLE
53.407,5.285,2022,11,Netherlands,HUMAN_OBSERVATION
53.44,6.5,2022,4,Netherlands,HUMAN_OBSERVATION
53.447,6.87,2023,5,Netherlands,HUMAN_OBSERVATION
53.447,6.87,2021,5,Netherlands,HUMAN_OBSERVATION
53.45,5.7,2021,3,Netherlands,HUMAN_OBSERVATION
53.473288,-3.034765,2021,5,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
53.473805,-3.036982,2021,5,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
53.906109,10.835695,2023,2,Germany,HUMAN_OBSERVATION
53.922452,14.271091,2023,12,Poland,HUMAN_OBSERVATION
53.923011,14.271578,2023,11,Poland,HUMAN_OBSERVATION
53.923181,14.273713,2023,11,Poland,HUMAN_OBSERVATION
53.923216,14.274735,2023,7,Poland,HUMAN_OBSERVATION
53.92346,14.251195,2023,11,Poland,HUMAN_OBSERVATION
53.936878,14.458139,2023,10,Poland,HUMAN_OBSERVATION
53.975686,14.554087,2025,1,Poland,HUMAN_OBSERVATION
53.975958,14.555333,2025,1,Poland,HUMAN_OBSERVATION
53.992531,10.841252,2021,1,Germany,HUMAN_OBSERVATION
54.077933,14.990782,2023,10,Poland,HUMAN_OBSERVATION
54.093411,13.869628,2025,5,Germany,HUMAN_OBSERVATION
54.095996,15.065395,2023,10,Poland,HUMAN_OBSERVATION
54.096875,13.881505,2024,12,Germany,HUMAN_OBSERVATION
54.102086,11.614419,2025,3,Germany,HUMAN_OBSERVATION
54.110246,15.136478,2024,8,Poland,HUMAN_OBSERVATION
54.132416,13.83344,2024,10,Germany,HUMAN_OBSERVATION
54.165051,11.043688,2022,10,Germany,HUMAN_OBSERVATION
54.165051,11.043688,2022,10,Germany,HUMAN_OBSERVATION
54.165051,11.043688,2022,10,Germany,HUMAN_OBSERVATION
54.1833,7.9,,,Germany,OCCURRENCE
54.186772,15.559253,2023,11,Poland,HUMAN_OBSERVATION
54.260925,12.24632,2024,6,Germany,HUMAN_OBSERVATION
54.26125,12.239939,2022,10,Germany,HUMAN_OBSERVATION
54.266113,12.260097,2024,8,Germany,HUMAN_OBSERVATION
54.325054,13.134157,2021,5,Germany,HUMAN_OBSERVATION
54.335,9.962,2009,7,Germany,MATERIAL_SAMPLE
54.335,9.962,2009,7,Germany,MATERIAL_SAMPLE
54.335,9.962,2009,7,Germany,MATERIAL_SAMPLE
54.335,9.962,2009,7,Germany,MATERIAL_SAMPLE
54.335,9.962,2009,7,Germany,MATERIAL_SAMPLE
54.340847,13.759432,2024,3,Germany,HUMAN_OBSERVATION
54.344551,19.0627,2024,8,Poland,HUMAN_OBSERVATION
54.347247,18.896346,2021,4,Poland,HUMAN_OBSERVATION
54.34762,18.920895,2024,4,Poland,HUMAN_OBSERVATION
54.348202,18.7908,2023,6,Poland,HUMAN_OBSERVATION
54.348232,18.790792,2023,6,Poland,HUMAN_OBSERVATION
54.349142,18.78554,2023,6,Poland,HUMAN_OBSERVATION
54.351467,18.933568,2023,9,Poland,HUMAN_OBSERVATION
54.355634,18.83455,2023,9,Poland,HUMAN_OBSERVATION
54.36063,18.814177,2023,5,Poland,HUMAN_OBSERVATION
54.378834,18.712795,2023,6,Poland,HUMAN_OBSERVATION
