latitude,longitude,year,month,country,basisOfRecord
38.633794,-9.080915,2021,2,Portugal,HUMAN_OBSERVATION
38.64464,-9.090513,2025,2,Portugal,HUMAN_OBSERVATION
38.644703,-9.084707,2023,12,Portugal,HUMAN_OBSERVATION
38.644826,-9.084044,2024,8,Portugal,HUMAN_OBSERVATION
38.645064,-9.089746,2024,10,Portugal,HUMAN_OBSERVATION
38.673638,-9.233355,2024,10,Portugal,HUMAN_OBSERVATION
38.747589,-8.97429,2024,1,Portugal,HUMAN_OBSERVATION
38.790407,-9.090427,2024,6,Portugal,HUMAN_OBSERVATION
39.39587,-9.217016,2024,5,Portugal,HUMAN_OBSERVATION
39.42514,-9.232047,2024,6,Portugal,HUMAN_OBSERVATION
39.425919,-9.234133,2024,7,Portugal,HUMAN_OBSERVATION
40.47944,17.260556,2013,6,Italy,HUMAN_OBSERVATION
40.49306,17.286389,2014,4,Italy,HUMAN_OBSERVATION
40.49306,17.3025,2014,4,Italy,HUMAN_OBSERVATION
40.49306,17.3025,2013,6,Italy,HUMAN_OBSERVATION
42.81662,2.99004,2009,5,France,HUMAN_OBSERVATION
42.81662,2.99004,2009,5,France,HUMAN_OBSERVATION
42.81662,2.99004,2009,5,France,HUMAN_OBSERVATION
42.93711,3.03074,2022,8,France,HUMAN_OBSERVATION
42.93711,3.03074,2022,8,France,HUMAN_OBSERVATION
42.94796,3.01887,2008,4,France,HUMAN_OBSERVATION
43.12696,3.00203,2015,4,France,HUMAN_OBSERVATION
43.12696,3.00203,2015,4,France,HUMAN_OBSERVATION
43.12696,3.00203,2015,4,France,HUMAN_OBSERVATION
43.34323,-1.77287,2016,10,France,HUMAN_OBSERVATION
43.34325,-1.76415,2006,10,France,HUMAN_OBSERVATION
43.34423,-1.75993,2008,10,France,HUMAN_OBSERVATION
43.35305,-1.78638,2006,10,France,HUMAN_OBSERVATION
43.36045,-1.78323,2016,10,France,HUMAN_OBSERVATION
43.36048,-1.77898,2008,10,France,HUMAN_OBSERVATION
43.36345,-1.78225,2006,10,France,HUMAN_OBSERVATION
43.3644,-1.77484,2007,5,France,HUMAN_OBSERVATION
43.3644,-1.77484,2007,5,France,HUMAN_OBSERVATION
43.3644,-1.77484,2007,5,France,HUMAN_OBSERVATION
43.3644,-1.77484,2007,5,France,HUMAN_OBSERVATION
43.3644,-1.77484,2007,11,France,HUMAN_OBSERVATION
43.36658,-1.78035,2008,10,France,HUMAN_OBSERVATION
43.3758,3.58704,2009,3,France,HUMAN_OBSERVATION
43.3758,3.58704,2009,3,France,HUMAN_OBSERVATION
43.3758,3.58704,2009,3,France,HUMAN_OBSERVATION
43.3855,4.8955,2009,4,France,HUMAN_OBSERVATION
43.39993,-3.455138,2021,9,Spain,HUMAN_OBSERVATION
43.401306,5.134563,2025,4,France,HUMAN_OBSERVATION
43.401499,5.137579,2021,8,France,HUMAN_OBSERVATION
43.404642,5.11317,2023,10,France,HUMAN_OBSERVATION
43.405041,5.115144,2020,7,France,HUMAN_OBSERVATION
43.40505,5.1158,2020,7,France,HUMAN_OBSERVATION
43.40505,5.1158,2020,7,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.405101,5.115148,2020,7,France,HUMAN_OBSERVATION
43.405101,5.115148,2020,8,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.407517,5.074026,2021,11,France,HUMAN_OBSERVATION
43.40936,6.71063,2019,5,France,HUMAN_OBSERVATION
43.41583,5.11167,2009,4,France,HUMAN_OBSERVATION
43.41583,5.11167,2009,4,France,HUMAN_OBSERVATION
43.41583,5.11167,2009,4,France,HUMAN_OBSERVATION
43.41653,5.1126,2015,4,France,HUMAN_OBSERVATION
43.41653,5.1126,2015,4,France,HUMAN_OBSERVATION
43.41664,3.63837,2009,3,France,HUMAN_OBSERVATION
43.41664,3.63837,2009,3,France,HUMAN_OBSERVATION
43.41916,5.17441,2015,5,France,HUMAN_OBSERVATION
43.42074,5.06104,2016,2,France,HUMAN_OBSERVATION
43.423364,3.673675,2020,2,France,HUMAN_OBSERVATION
43.42472,3.7,2021,3,France,HUMAN_OBSERVATION
43.42472,3.7,2018,8,France,HUMAN_OBSERVATION
43.42546,5.18123,2016,9,France,HUMAN_OBSERVATION
43.42982,3.80205,2022,11,France,HUMAN_OBSERVATION
43.43232,5.187367,2024,9,France,HUMAN_OBSERVATION
43.437715,5.19538,2025,3,France,HUMAN_OBSERVATION
43.438097,5.196096,2021,2,France,HUMAN_OBSERVATION
43.438104,5.195422,2023,11,France,HUMAN_OBSERVATION
43.438104,5.195422,2023,11,France,HUMAN_OBSERVATION
43.438328,5.195721,2020,7,France,HUMAN_OBSERVATION
43.438547,5.195468,2024,10,France,HUMAN_OBSERVATION
43.438825,5.195091,2024,6,France,HUMAN_OBSERVATION
43.438825,5.195091,2024,6,France,HUMAN_OBSERVATION
43.447511,5.242819,2024,12,France,HUMAN_OBSERVATION
43.455467,5.154005,2024,11,France,HUMAN_OBSERVATION
