latitude,longitude,year,month,country,basisOfRecord
28.107593,-16.72973,2013,11,Spain,HUMAN_OBSERVATION
28.107593,-16.72973,2013,11,Spain,HUMAN_OBSERVATION
28.301083,-16.367308,2021,11,Spain,HUMAN_OBSERVATION
28.986044,-13.508569,2023,7,Spain,HUMAN_OBSERVATION
36.010206,-5.609717,2020,1,Spain,HUMAN_OBSERVATION
36.036137,-5.518852,2005,5,Spain,HUMAN_OBSERVATION
36.043582,-5.638607,2023,3,Spain,HUMAN_OBSERVATION
36.062982,-5.699712,2023,3,Spain,HUMAN_OBSERVATION
36.062982,-5.699712,2023,3,Spain,HUMAN_OBSERVATION
36.063726,-5.727717,2022,6,Spain,HUMAN_OBSERVATION
36.063726,-5.727717,2022,6,Spain,HUMAN_OBSERVATION
36.06433,-5.699042,2022,4,Spain,HUMAN_OBSERVATION
36.064919,-5.434799,2013,11,Spain,HUMAN_OBSERVATION
36.065069,-5.434539,2013,11,Spain,HUMAN_OBSERVATION
36.069746,-5.434123,2013,7,Spain,HUMAN_OBSERVATION
36.069751,-5.43408,2013,7,Spain,HUMAN_OBSERVATION
36.069822,-5.433995,2013,7,Spain,HUMAN_OBSERVATION
36.07335,-5.751998,2024,3,Spain,HUMAN_OBSERVATION
36.076279,-5.42521,2012,2,Spain,HUMAN_OBSERVATION
36.082332,-5.417032,2017,10,Spain,HUMAN_OBSERVATION
36.083008,-5.76435,2025,3,Spain,HUMAN_OBSERVATION
36.083049,-5.764399,2025,3,Spain,HUMAN_OBSERVATION
36.083416,-5.764354,2024,3,Spain,HUMAN_OBSERVATION
36.083731,-5.766377,2024,12,Spain,HUMAN_OBSERVATION
36.088783,-5.803871,2014,6,Spain,HUMAN_OBSERVATION
36.186537,-6.022911,2022,9,Spain,HUMAN_OBSERVATION
36.186813,-6.022533,2022,9,Spain,HUMAN_OBSERVATION
36.186813,-6.022533,2022,9,Spain,HUMAN_OBSERVATION
36.205903,-5.325508,2024,8,Spain,HUMAN_OBSERVATION
36.225,-5.3138,2014,7,Spain,MACHINE_OBSERVATION
36.225,-5.3138,2014,7,Spain,MACHINE_OBSERVATION
36.306732,-5.25961,2014,12,Spain,HUMAN_OBSERVATION
36.472926,-6.258945,2013,6,Spain,HUMAN_OBSERVATION
36.479828,-6.262207,2013,6,Spain,HUMAN_OBSERVATION
36.514272,-6.284729,2023,4,Spain,HUMAN_OBSERVATION
36.528975,-6.312178,2015,4,Spain,HUMAN_OBSERVATION
36.583762,-6.249161,2013,10,Spain,HUMAN_OBSERVATION
36.661621,-6.404615,2022,6,Spain,HUMAN_OBSERVATION
36.661621,-6.404615,2022,6,Spain,HUMAN_OBSERVATION
36.695645,-2.84977,2025,2,Spain,HUMAN_OBSERVATION
36.722366,-2.193521,2019,6,Spain,HUMAN_OBSERVATION
36.775192,-2.062683,,,Spain,OCCURRENCE
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.940195,-25.150384,2016,,Portugal,HUMAN_OBSERVATION
36.943886,-25.014773,2019,,Portugal,HUMAN_OBSERVATION
36.945797,-25.146063,2019,,Portugal,HUMAN_OBSERVATION
36.945797,-25.146063,2016,,Portugal,HUMAN_OBSERVATION
36.94734,-25.088821,2019,,Portugal,HUMAN_OBSERVATION
36.94734,-25.088821,2008,,Portugal,HUMAN_OBSERVATION
36.950235,-25.095009,2011,,Portugal,HUMAN_OBSERVATION
36.985383,-25.050515,2019,,Portugal,HUMAN_OBSERVATION
36.985383,-25.050515,2019,,Portugal,HUMAN_OBSERVATION
36.985383,-25.050515,2008,,Portugal,HUMAN_OBSERVATION
36.985383,-25.050515,2008,,Portugal,HUMAN_OBSERVATION
36.9858,-25.049216,2011,,Portugal,HUMAN_OBSERVATION
