latitude,longitude,year,month,country,basisOfRecord
28.009074,-16.638347,2019,8,Spain,HUMAN_OBSERVATION
32.73866,-16.733283,2018,4,Portugal,HUMAN_OBSERVATION
35.172107,24.40102,2008,1,Greece,HUMAN_OBSERVATION
35.515,12.6316,2017,7,Italy,MACHINE_OBSERVATION
35.517615,24.033473,2024,4,Greece,HUMAN_OBSERVATION
35.548854,24.062722,2025,5,Greece,HUMAN_OBSERVATION
35.885007,-5.314286,2016,9,Spain,HUMAN_OBSERVATION
35.885876,-5.318856,2013,7,Spain,HUMAN_OBSERVATION
35.98885,14.32714,1919,4,Malta,HUMAN_OBSERVATION
36.083283,-5.764485,2024,3,Spain,HUMAN_OBSERVATION
36.083303,-5.7644,2024,3,Spain,HUMAN_OBSERVATION
36.47676,-6.261161,2024,5,Spain,HUMAN_OBSERVATION
36.489589,-4.700797,2023,3,Spain,HUMAN_OBSERVATION
36.526607,-6.319783,2023,9,Spain,HUMAN_OBSERVATION
36.568585,-4.593724,2022,7,Spain,HUMAN_OBSERVATION
36.695249,-2.848448,2025,2,Spain,HUMAN_OBSERVATION
36.695357,-2.846138,2024,6,Spain,HUMAN_OBSERVATION
36.698772,-2.857271,2025,3,Spain,HUMAN_OBSERVATION
36.698795,-2.857853,2025,1,Spain,HUMAN_OBSERVATION
36.698808,-2.857847,2024,12,Spain,HUMAN_OBSERVATION
36.7044,-3.4049,2017,2,Spain,MACHINE_OBSERVATION
36.718931,-3.726473,2024,6,Spain,HUMAN_OBSERVATION
36.718931,-3.726473,2024,6,Spain,HUMAN_OBSERVATION
36.718931,-3.726473,2024,6,Spain,HUMAN_OBSERVATION
36.718931,-3.726473,2024,6,Spain,HUMAN_OBSERVATION
36.718931,-3.726473,2024,6,Spain,HUMAN_OBSERVATION
36.718931,-3.726473,2024,6,Spain,HUMAN_OBSERVATION
36.7193,-3.7274,2016,5,Spain,MACHINE_OBSERVATION
36.7199,-4.3821,2018,8,Spain,MACHINE_OBSERVATION
36.7199,-4.3819,2018,8,Spain,MACHINE_OBSERVATION
36.7204,-4.3822,2018,9,Spain,MACHINE_OBSERVATION
36.7208,-3.7289,2017,1,Spain,MACHINE_OBSERVATION
36.721133,-3.727677,2024,6,Spain,HUMAN_OBSERVATION
36.722027,-3.727867,2025,1,Spain,HUMAN_OBSERVATION
36.7244,-3.730979,2024,6,Spain,HUMAN_OBSERVATION
36.7258,-3.7253,2016,5,Spain,MACHINE_OBSERVATION
36.725983,-3.719178,2023,9,Spain,HUMAN_OBSERVATION
36.725983,-3.719178,2023,9,Spain,HUMAN_OBSERVATION
36.725983,-3.719178,2023,9,Spain,HUMAN_OBSERVATION
36.725983,-3.719178,2023,9,Spain,HUMAN_OBSERVATION
36.7272,-3.7356,2017,2,Spain,MACHINE_OBSERVATION
36.727669,-3.747802,2024,6,Spain,HUMAN_OBSERVATION
36.727669,-3.747802,2024,6,Spain,HUMAN_OBSERVATION
36.727669,-3.747802,2024,6,Spain,HUMAN_OBSERVATION
36.727669,-3.747802,2024,6,Spain,HUMAN_OBSERVATION
36.727669,-3.747802,2024,6,Spain,HUMAN_OBSERVATION
36.7307,-3.7121,2018,9,Spain,MACHINE_OBSERVATION
36.734651,-3.737803,2023,9,Spain,HUMAN_OBSERVATION
36.734651,-3.737803,2023,9,Spain,HUMAN_OBSERVATION
36.736373,-3.755405,2022,7,Spain,HUMAN_OBSERVATION
36.7375,-3.7777,2018,9,Spain,MACHINE_OBSERVATION
36.7376,-3.7776,2018,9,Spain,MACHINE_OBSERVATION
36.74495,-3.649959,2024,1,Spain,HUMAN_OBSERVATION
36.7487,-3.2685,2019,8,Spain,MACHINE_OBSERVATION
36.753174,-3.833519,2025,5,Spain,HUMAN_OBSERVATION
36.753805,-2.605122,2025,2,Spain,HUMAN_OBSERVATION
36.753808,-2.605127,2025,2,Spain,HUMAN_OBSERVATION
36.794579,-2.584293,2025,1,Spain,HUMAN_OBSERVATION
36.811693,-2.430555,2025,2,Spain,HUMAN_OBSERVATION
36.8121,-2.565,2016,4,Spain,MACHINE_OBSERVATION
36.818905,-2.412873,2025,2,Spain,HUMAN_OBSERVATION
36.830912,-2.488208,2025,2,Spain,HUMAN_OBSERVATION
36.92303,-25.06655,2016,,Portugal,HUMAN_OBSERVATION
36.92489,-25.02421,2016,,Portugal,HUMAN_OBSERVATION
36.925667,-25.057567,2016,,Portugal,HUMAN_OBSERVATION
36.925935,-25.034769,2022,9,Portugal,HUMAN_OBSERVATION
36.926217,-25.061383,2018,,Portugal,HUMAN_OBSERVATION
36.927233,-25.065917,2018,,Portugal,HUMAN_OBSERVATION
36.927833,-25.0714,2018,,Portugal,HUMAN_OBSERVATION
36.9279,-25.07065,2018,,Portugal,HUMAN_OBSERVATION
36.927967,-25.072933,2016,,Portugal,HUMAN_OBSERVATION
36.928067,-25.07045,2018,,Portugal,HUMAN_OBSERVATION
36.92875,-25.065217,2016,,Portugal,HUMAN_OBSERVATION
36.92892,-25.06439,2016,,Portugal,HUMAN_OBSERVATION
36.92892,-25.06439,2016,,Portugal,HUMAN_OBSERVATION
36.92938,-25.07147,2016,,Portugal,HUMAN_OBSERVATION
36.92938,-25.07147,2016,,Portugal,HUMAN_OBSERVATION
36.930017,-25.071383,2016,,Portugal,HUMAN_OBSERVATION
36.93505,-25.09226,2016,,Portugal,HUMAN_OBSERVATION
36.93505,-25.09226,2016,,Portugal,HUMAN_OBSERVATION
36.93583,-25.093827,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2017,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2017,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.937365,-25.105259,2016,,Portugal,HUMAN_OBSERVATION
36.9392,-25.175417,2018,,Portugal,HUMAN_OBSERVATION
36.939483,-25.176467,2018,,Portugal,HUMAN_OBSERVATION
36.940195,-25.150384,2017,,Portugal,HUMAN_OBSERVATION
