latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved,GulfofPiran_seaway,RavennaH_seaway,RavennaM_seaway,GulfofPiran_geodesic,RavennaH_geodesic,RavennaM_geodesic
38.49795,23.531935,2022,8,Greece,HUMAN_OBSERVATION,38.55,23.55,6,1539,1507,1507,1131,1140,1140
39.139272,23.26916,2020,6,Greece,HUMAN_OBSERVATION,39.15,23.35,7.08,1532,1500,1500,1071,1086,1086
39.145299,23.165916,2021,6,Greece,HUMAN_OBSERVATION,39.145299,23.165916,0,1545,1513,1513,1060,1073,1073
40.42865,22.871022,2020,5,Greece,HUMAN_OBSERVATION,40.42865,22.871022,0,1673,1642,1642,945,973,973
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE,43.65,13.45,92.84,212,127,127,208,125,125
44.130578,12.489027,2020,6,Italy,HUMAN_OBSERVATION,44.15,12.55,5.33,176,37,37,172,37,37
44.826491,12.421608,2020,6,Italy,HUMAN_OBSERVATION,44.75,12.45,8.81,126,35,35,123,34,34
45.084805,13.63444,2020,7,Croatia,MATERIAL_SAMPLE,45.084805,13.63444,0,61,124,124,49,124,124
45.084805,13.63444,2020,7,Croatia,MATERIAL_SAMPLE,45.084805,13.63444,0,61,124,124,49,124,124
45.084805,13.63444,2020,7,Croatia,MATERIAL_SAMPLE,45.084805,13.63444,0,61,124,124,49,124,124
45.084805,13.63444,2020,7,Croatia,MATERIAL_SAMPLE,45.084805,13.63444,0,61,124,124,49,124,124
45.084805,13.63444,2020,7,Croatia,MATERIAL_SAMPLE,45.084805,13.63444,0,61,124,124,49,124,124
45.239296,12.298861,2021,5,Italy,HUMAN_OBSERVATION,45.239296,12.298861,0,112,98,98,104,88,88
45.24194,12.292425,2025,4,Italy,HUMAN_OBSERVATION,45.24194,12.292425,0,112,98,98,104,88,88
45.243062,12.293684,2023,4,Italy,HUMAN_OBSERVATION,45.243062,12.293684,0,112,98,98,104,88,88
45.253714,12.299056,2023,4,Italy,HUMAN_OBSERVATION,45.253714,12.299056,0,112,98,98,104,89,89
45.270654,12.299697,2023,4,Italy,HUMAN_OBSERVATION,45.270654,12.299697,0,112,98,98,103,91,91
45.273378,12.303228,2021,5,Italy,HUMAN_OBSERVATION,45.273378,12.303228,0,104,94,94,103,92,92
45.306769,12.313777,2023,6,Italy,HUMAN_OBSERVATION,45.306769,12.313777,0,101,105,105,101,95,95
45.311142,12.310998,2023,4,Italy,HUMAN_OBSERVATION,45.311142,12.310998,0,101,105,105,101,96,96
45.313546,12.316491,2023,6,Italy,HUMAN_OBSERVATION,45.313546,12.316491,0,101,105,105,101,96,96
45.316936,12.314843,2023,4,Italy,HUMAN_OBSERVATION,45.316936,12.314843,0,101,105,105,101,96,96
45.322608,12.317792,2023,3,Italy,HUMAN_OBSERVATION,45.322608,12.317792,0,101,105,105,100,97,97
45.327809,12.321359,2025,4,Italy,HUMAN_OBSERVATION,45.327809,12.321359,0,101,105,105,100,98,98
45.332859,12.317289,2023,4,Italy,HUMAN_OBSERVATION,45.332859,12.317289,0,101,105,105,100,98,98
45.341947,12.30899,2023,4,Italy,HUMAN_OBSERVATION,45.341947,12.30899,0,101,105,105,100,99,99
45.362311,12.345559,2008,5,Italy,HUMAN_OBSERVATION,45.362311,12.345559,0,101,105,105,97,101,101
45.372329,12.336442,2023,4,Italy,HUMAN_OBSERVATION,45.372329,12.336442,0,101,105,105,98,103,103
45.38991,12.3492,2023,4,Italy,HUMAN_OBSERVATION,45.38991,12.3492,0,101,105,105,96,104,104
45.395397,12.360175,2020,7,Italy,HUMAN_OBSERVATION,45.395397,12.360175,0,101,105,105,95,105,105
45.408619,12.362979,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,6.6,101,105,105,97,100,100
