latitude,longitude,year,month,country,basisOfRecord
36.99198,-7.968742,2019,4,Portugal,HUMAN_OBSERVATION
37.118255,-7.620958,2019,6,Portugal,HUMAN_OBSERVATION
37.118255,-7.620958,,,Portugal,HUMAN_OBSERVATION
38.706355,-9.135433,2017,8,Portugal,HUMAN_OBSERVATION
38.706355,-9.135433,,,Portugal,HUMAN_OBSERVATION
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
39.675293,-7.933662,2016,4,Portugal,MATERIAL_SAMPLE
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
