latitude,longitude,year,month,country,basisOfRecord
35.343153,25.136605,,,Greece,OCCURRENCE
36.011703,-5.595882,2014,8,Spain,HUMAN_OBSERVATION
36.012276,-5.590518,2018,1,Spain,HUMAN_OBSERVATION
36.012372,-5.587052,2010,6,Spain,HUMAN_OBSERVATION
36.012372,-5.587052,2010,6,Spain,HUMAN_OBSERVATION
36.014286,-5.604444,2017,1,Spain,HUMAN_OBSERVATION
36.014321,-5.60445,2015,6,Spain,HUMAN_OBSERVATION
36.016164,-5.583544,2017,3,Spain,HUMAN_OBSERVATION
36.017795,-5.567493,2018,1,Spain,HUMAN_OBSERVATION
36.070359,-5.431601,2013,7,Spain,HUMAN_OBSERVATION
36.070461,-5.431596,2013,7,Spain,HUMAN_OBSERVATION
36.08476,-5.433281,2017,3,Spain,HUMAN_OBSERVATION
36.088228,-5.44188,2013,12,Spain,HUMAN_OBSERVATION
36.08828,-5.441837,2013,12,Spain,HUMAN_OBSERVATION
36.092372,-5.443424,2017,2,Spain,HUMAN_OBSERVATION
36.10163,-5.439115,2012,2,Spain,HUMAN_OBSERVATION
36.192735,-5.346856,2016,1,Spain,HUMAN_OBSERVATION
36.375578,-6.193775,2016,3,Spain,HUMAN_OBSERVATION
36.41335,-5.159444,2024,7,Spain,HUMAN_OBSERVATION
36.704123,-2.863261,2025,1,Spain,HUMAN_OBSERVATION
36.719648,-4.420016,2012,9,Spain,HUMAN_OBSERVATION
36.723168,-2.17555,2011,9,Spain,HUMAN_OBSERVATION
36.728005,-3.69448,2012,9,Spain,HUMAN_OBSERVATION
36.728078,-3.69447,2012,9,Spain,HUMAN_OBSERVATION
36.728091,-3.694491,2012,9,Spain,HUMAN_OBSERVATION
36.729645,-2.145032,2011,2,Spain,HUMAN_OBSERVATION
36.732298,-3.712778,2013,8,Spain,HUMAN_OBSERVATION
36.733715,-3.704984,2012,9,Spain,HUMAN_OBSERVATION
36.733784,-3.704941,2012,9,Spain,HUMAN_OBSERVATION
36.739904,-4.001573,2012,2,Spain,HUMAN_OBSERVATION
36.741314,-4.004952,2012,2,Spain,HUMAN_OBSERVATION
36.741314,-4.004952,2012,2,Spain,HUMAN_OBSERVATION
37.069922,-6.688363,2022,4,Spain,HUMAN_OBSERVATION
37.181094,-6.976469,2024,8,Spain,HUMAN_OBSERVATION
37.182149,-7.447209,2022,2,Portugal,HUMAN_OBSERVATION
37.193431,-7.332971,2012,8,Spain,HUMAN_OBSERVATION
37.384063,-1.614646,2011,4,Spain,HUMAN_OBSERVATION
37.578214,-0.877501,2010,3,Spain,HUMAN_OBSERVATION
37.578214,-0.877501,2010,3,Spain,HUMAN_OBSERVATION
38.2864,-0.520048,2015,5,Spain,HUMAN_OBSERVATION
38.362777,-0.44214,2011,8,Spain,HUMAN_OBSERVATION
38.436984,-9.112523,2024,5,Portugal,HUMAN_OBSERVATION
38.464167,-8.880833,2021,7,Portugal,HUMAN_OBSERVATION
38.470421,-8.888869,2021,7,Portugal,HUMAN_OBSERVATION
38.580132,-9.201119,2025,3,Portugal,HUMAN_OBSERVATION
38.63835,-28.12889,1965,,Portugal,HUMAN_OBSERVATION
38.63841,-28.12315,1965,,Portugal,HUMAN_OBSERVATION
38.6428,-28.13471,1965,,Portugal,HUMAN_OBSERVATION
38.64286,-28.12896,1965,,Portugal,HUMAN_OBSERVATION
38.64291,-28.12322,1965,,Portugal,HUMAN_OBSERVATION
39.29,-0.26,2024,3,Spain,HUMAN_OBSERVATION
40.3024,-3.441837,2015,2,Spain,HUMAN_OBSERVATION
40.302403,-3.441858,2015,2,Spain,HUMAN_OBSERVATION
40.30243,-3.441967,2015,3,Spain,HUMAN_OBSERVATION
40.30243,-3.441962,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302453,-3.441905,2016,5,Spain,HUMAN_OBSERVATION
40.302475,-3.442033,2015,3,Spain,HUMAN_OBSERVATION
40.302475,-3.441847,2015,2,Spain,HUMAN_OBSERVATION
40.302478,-3.442053,2015,3,Spain,HUMAN_OBSERVATION
40.302495,-3.44202,2015,3,Spain,HUMAN_OBSERVATION
40.302503,-3.44207,2015,3,Spain,HUMAN_OBSERVATION
40.340985,22.652125,2022,3,Greece,HUMAN_OBSERVATION
40.438492,-8.614991,2023,12,Portugal,HUMAN_OBSERVATION
40.502481,-8.78778,2022,2,Portugal,HUMAN_OBSERVATION
