latitude,longitude,year,month,country,basisOfRecord
49.1665,-2.022,2021,2,Jersey,HUMAN_OBSERVATION
49.2068,-2.018469,2020,12,Jersey,HUMAN_OBSERVATION
49.2104,-2.0223,2021,1,Jersey,HUMAN_OBSERVATION
49.2104,-2.0223,2021,1,Jersey,HUMAN_OBSERVATION
49.2108,-2.02169,2021,1,Jersey,HUMAN_OBSERVATION
50.109568,-5.543032,2018,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.109568,-5.543032,2018,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.109568,-5.543032,2018,5,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.109568,-5.543032,2018,5,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.109625,-5.542911,2018,4,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.109625,-5.542911,2018,5,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.114436,-5.533878,2019,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.114436,-5.533878,2019,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.124531,-5.527345,2018,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.124531,-5.527345,2018,4,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.124588,-5.527224,2018,4,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.262335,-3.860005,2017,3,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.262335,-3.860005,2017,3,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.725613,-1.397124,2015,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.73008,-1.391399,2015,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.73008,-1.391399,2015,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
51.20608,2.84963,2021,7,Belgium,HUMAN_OBSERVATION
51.34913,3.22344,2024,6,Belgium,HUMAN_OBSERVATION
51.36083,3.20807,2024,12,Belgium,HUMAN_OBSERVATION
51.37738,1.45258,2016,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.134678,-10.0689,2018,9,Ireland,HUMAN_OBSERVATION
54.134832,-10.06967,2018,9,Ireland,MATERIAL_SAMPLE
54.134832,-10.06967,2018,9,Ireland,MATERIAL_SAMPLE
54.143011,-10.066738,2018,9,Ireland,HUMAN_OBSERVATION
54.143164,-10.067507,2018,9,Ireland,MATERIAL_SAMPLE
54.143164,-10.067507,2018,9,Ireland,MATERIAL_SAMPLE
55.23843,-1.537651,2017,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
55.23843,-1.537651,2017,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
58.956486,-2.971292,2014,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
58.956486,-2.971292,2014,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
