latitude,longitude,year,month,country,basisOfRecord
37.045155,-8.877728,2001,11,Portugal,HUMAN_OBSERVATION
37.084187,-8.729989,2001,11,Portugal,HUMAN_OBSERVATION
37.091115,-8.66897,2001,11,Portugal,HUMAN_OBSERVATION
37.102461,-8.945659,2001,11,Portugal,HUMAN_OBSERVATION
37.340579,-8.854811,2001,11,Portugal,HUMAN_OBSERVATION
37.524209,-8.788036,2001,11,Portugal,HUMAN_OBSERVATION
37.720834,-8.792484,2001,11,Portugal,HUMAN_OBSERVATION
37.891804,-8.797249,2001,11,Portugal,HUMAN_OBSERVATION
38.675419,-27.329237,2008,,Portugal,HUMAN_OBSERVATION
38.688432,-9.360986,2001,10,Portugal,HUMAN_OBSERVATION
38.709571,-9.486673,2001,10,Portugal,HUMAN_OBSERVATION
38.77,0.21,1984,10,Spain,HUMAN_OBSERVATION
38.83,0.16,1984,4,Spain,HUMAN_OBSERVATION
38.865024,-9.45061,2001,10,Portugal,HUMAN_OBSERVATION
38.961181,-9.42029,2001,10,Portugal,HUMAN_OBSERVATION
39.37344,-9.377283,2001,10,Portugal,HUMAN_OBSERVATION
39.375856,-9.339807,2001,10,Portugal,HUMAN_OBSERVATION
40.177513,-8.903539,2002,1,Portugal,HUMAN_OBSERVATION
41.03,0.91,,,Spain,OCCURRENCE
41.088863,-8.658663,2001,9,Portugal,HUMAN_OBSERVATION
41.1597,-8.686061,2001,9,Portugal,HUMAN_OBSERVATION
41.223489,-8.716956,2001,9,Portugal,HUMAN_OBSERVATION
41.59,2.58,,,Spain,OCCURRENCE
41.68,2.81,,,Spain,OCCURRENCE
41.68,2.93,1983,1,Spain,OCCURRENCE
41.68,2.93,1983,2,Spain,OCCURRENCE
41.68,2.93,1983,2,Spain,OCCURRENCE
41.68,2.93,1983,4,Spain,OCCURRENCE
41.68,2.93,1983,5,Spain,OCCURRENCE
41.68,2.93,1983,8,Spain,OCCURRENCE
41.68,2.93,1982,1,Spain,OCCURRENCE
41.68,2.93,1982,1,Spain,OCCURRENCE
41.68,2.93,1982,1,Spain,OCCURRENCE
41.68,2.93,1982,1,Spain,OCCURRENCE
41.68,2.93,1982,4,Spain,OCCURRENCE
41.68,2.93,1982,4,Spain,OCCURRENCE
41.68,2.93,1982,5,Spain,OCCURRENCE
41.68,2.93,1982,5,Spain,OCCURRENCE
41.68,2.93,1982,5,Spain,OCCURRENCE
41.68,2.93,1982,5,Spain,OCCURRENCE
41.68,2.93,1982,6,Spain,OCCURRENCE
41.68,2.93,1982,7,Spain,OCCURRENCE
41.68,2.93,1982,7,Spain,OCCURRENCE
41.68,2.93,1982,8,Spain,OCCURRENCE
41.68,2.93,1982,8,Spain,OCCURRENCE
41.68,2.93,1982,9,Spain,OCCURRENCE
41.68,2.93,1982,9,Spain,OCCURRENCE
41.68,2.93,1982,11,Spain,OCCURRENCE
41.68,2.93,1982,11,Spain,OCCURRENCE
41.68,2.93,1982,11,Spain,OCCURRENCE
41.68,2.93,1982,11,Spain,OCCURRENCE
41.68,2.93,1982,12,Spain,OCCURRENCE
41.68,2.93,1981,11,Spain,OCCURRENCE
41.68,2.93,1981,11,Spain,OCCURRENCE
41.68,2.93,,,Spain,OCCURRENCE
41.68,2.93,,,Spain,OCCURRENCE
43.302436,-2.344919,2012,4,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2012,4,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2012,4,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2009,7,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2009,7,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2009,7,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2003,4,Spain,HUMAN_OBSERVATION
43.302436,-2.344919,2003,4,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2012,5,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2012,5,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2009,7,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2006,4,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2006,4,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2006,4,Spain,HUMAN_OBSERVATION
43.30287,-2.35627,2003,4,Spain,HUMAN_OBSERVATION
43.303563,-2.259562,2019,4,Spain,HUMAN_OBSERVATION
43.303563,-2.259562,2019,4,Spain,HUMAN_OBSERVATION
43.303563,-2.259562,2013,3,Spain,HUMAN_OBSERVATION
43.303563,-2.259562,2007,4,Spain,HUMAN_OBSERVATION
43.303637,-2.25987,2019,4,Spain,HUMAN_OBSERVATION
43.303637,-2.25987,2019,4,Spain,HUMAN_OBSERVATION
43.303637,-2.25987,2019,4,Spain,HUMAN_OBSERVATION
43.303785,-2.260447,2019,4,Spain,HUMAN_OBSERVATION
43.30848,-2.239071,2019,4,Spain,HUMAN_OBSERVATION
43.30848,-2.239071,2019,4,Spain,HUMAN_OBSERVATION
43.30848,-2.239071,2013,3,Spain,HUMAN_OBSERVATION
43.30848,-2.239071,2013,3,Spain,HUMAN_OBSERVATION
43.323075,-2.411298,2020,9,Spain,HUMAN_OBSERVATION
43.323075,-2.411298,2020,9,Spain,HUMAN_OBSERVATION
43.323075,-2.411298,2020,9,Spain,HUMAN_OBSERVATION
43.323075,-2.411298,2014,4,Spain,HUMAN_OBSERVATION
43.323075,-2.411298,2011,4,Spain,HUMAN_OBSERVATION
43.323075,-2.411298,2005,3,Spain,HUMAN_OBSERVATION
