latitude,longitude,year,month,country,basisOfRecord
36.528314,-6.306714,2023,5,Spain,HUMAN_OBSERVATION
38.514602,-9.169141,2020,1,Portugal,HUMAN_OBSERVATION
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.400782,22.899397,2025,2,Greece,HUMAN_OBSERVATION
42.809511,3.020523,2024,11,France,HUMAN_OBSERVATION
42.810192,3.020387,2024,11,France,HUMAN_OBSERVATION
42.98201,12.763658,2010,12,Italy,MATERIAL_SAMPLE
43.111769,3.122651,2024,3,France,HUMAN_OBSERVATION
43.318692,3.558122,2022,12,France,HUMAN_OBSERVATION
43.366381,-8.214054,2023,8,Spain,HUMAN_OBSERVATION
43.404974,5.055364,2023,9,France,HUMAN_OBSERVATION
43.406211,5.068007,2021,11,France,HUMAN_OBSERVATION
43.406263,5.068004,2021,11,France,HUMAN_OBSERVATION
43.413471,3.686044,2022,11,France,HUMAN_OBSERVATION
43.413471,3.686044,2022,11,France,HUMAN_OBSERVATION
43.413691,3.685515,2022,11,France,HUMAN_OBSERVATION
43.413691,3.685515,2022,11,France,HUMAN_OBSERVATION
43.41729,4.972923,2025,1,France,HUMAN_OBSERVATION
43.421041,4.920178,2022,3,France,HUMAN_OBSERVATION
43.421166,4.920178,2022,3,France,HUMAN_OBSERVATION
43.421807,3.70605,2022,10,France,HUMAN_OBSERVATION
43.421877,3.706216,2022,11,France,HUMAN_OBSERVATION
43.424299,3.700209,2025,2,France,HUMAN_OBSERVATION
43.424299,3.700209,2025,2,France,HUMAN_OBSERVATION
43.424697,3.70003,2023,8,France,HUMAN_OBSERVATION
43.424697,3.70003,2022,10,France,HUMAN_OBSERVATION
43.424697,3.70003,2022,10,France,HUMAN_OBSERVATION
43.424703,3.700455,2022,10,France,HUMAN_OBSERVATION
43.424703,3.700455,2022,10,France,HUMAN_OBSERVATION
43.424703,3.700455,2022,10,France,HUMAN_OBSERVATION
43.424703,3.700455,2022,10,France,HUMAN_OBSERVATION
43.424704,3.700267,2021,3,France,HUMAN_OBSERVATION
43.424711,3.700322,2025,4,France,HUMAN_OBSERVATION
