latitude,longitude,year,month,country,basisOfRecord
35.343153,25.136605,,,Greece,OCCURRENCE
35.343153,25.136605,,,Greece,OCCURRENCE
36.541111,-6.282778,2009,4,Spain,MATERIAL_SAMPLE
36.541111,-6.282778,2009,4,Spain,MATERIAL_SAMPLE
37.01138,-8.929992,2023,5,Portugal,HUMAN_OBSERVATION
37.084167,-8.267778,2009,7,Portugal,MATERIAL_SAMPLE
37.084167,-8.267778,2009,7,Portugal,MATERIAL_SAMPLE
37.647499,-0.768513,2024,2,Spain,HUMAN_OBSERVATION
37.647499,-0.768513,2024,2,Spain,HUMAN_OBSERVATION
37.740833,-25.658611,2009,9,Portugal,MATERIAL_SAMPLE
37.740833,-25.658611,2009,9,Portugal,MATERIAL_SAMPLE
37.798978,-0.800796,2024,2,Spain,HUMAN_OBSERVATION
37.798978,-0.800796,2024,2,Spain,HUMAN_OBSERVATION
37.798978,-0.800796,2024,2,Spain,HUMAN_OBSERVATION
37.950278,-8.865833,2009,7,Portugal,MATERIAL_SAMPLE
37.950278,-8.865833,2009,7,Portugal,MATERIAL_SAMPLE
38.436581,-9.114189,,,Portugal,OCCURRENCE
38.51,-28.589,1999,7,Portugal,OCCURRENCE
38.511403,-9.17246,2024,5,Portugal,HUMAN_OBSERVATION
38.519,-28.62,1999,7,Portugal,OCCURRENCE
38.676111,-9.318333,2009,7,Portugal,MATERIAL_SAMPLE
38.676111,-9.318333,2009,7,Portugal,MATERIAL_SAMPLE
38.692222,-9.417778,2009,4,Portugal,MATERIAL_SAMPLE
38.692222,-9.417778,2009,4,Portugal,MATERIAL_SAMPLE
39.205063,26.209271,2015,4,Greece,HUMAN_OBSERVATION
39.351944,-9.3775,2009,7,Portugal,MATERIAL_SAMPLE
39.351944,-9.3775,2009,7,Portugal,MATERIAL_SAMPLE
39.5,20.056,1991,12,Greece,HUMAN_OBSERVATION
39.512,-0.32149,2020,5,Spain,MATERIAL_SAMPLE
39.512,-0.32149,2020,5,Spain,MATERIAL_SAMPLE
39.583611,-9.075556,2009,7,Portugal,MATERIAL_SAMPLE
39.583611,-9.075556,2009,7,Portugal,MATERIAL_SAMPLE
39.668667,19.95,1991,12,Greece,HUMAN_OBSERVATION
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
41.186714,-8.705741,2024,12,Portugal,HUMAN_OBSERVATION
41.70708,2.9003,2022,7,Spain,HUMAN_OBSERVATION
41.815,-8.869444,2009,7,Portugal,MATERIAL_SAMPLE
41.815,-8.869444,2009,7,Portugal,MATERIAL_SAMPLE
41.8383,8.74246,2019,7,France,HUMAN_OBSERVATION
41.85043,8.75475,2019,7,France,HUMAN_OBSERVATION
41.90796,8.72606,2019,7,France,HUMAN_OBSERVATION
42.042312,3.226905,2013,9,Spain,HUMAN_OBSERVATION
42.11306,8.61584,2015,7,France,HUMAN_OBSERVATION
42.142423,9.5558,2022,5,France,HUMAN_OBSERVATION
42.142423,9.5558,2022,5,France,HUMAN_OBSERVATION
42.24142,8.54848,2015,7,France,HUMAN_OBSERVATION
42.327778,-8.786111,2009,7,Spain,MATERIAL_SAMPLE
42.327778,-8.786111,2009,7,Spain,MATERIAL_SAMPLE
42.472514,18.710239,2023,11,Montenegro,HUMAN_OBSERVATION
42.51332,3.13386,2019,9,France,HUMAN_OBSERVATION
42.566667,-8.85,2003,8,Spain,MATERIAL_SAMPLE
42.566667,-8.85,2003,8,Spain,MATERIAL_SAMPLE
42.71205,9.45652,2007,2,France,HUMAN_OBSERVATION
42.809511,3.020523,2024,11,France,HUMAN_OBSERVATION
42.809647,3.020975,2024,11,France,HUMAN_OBSERVATION
42.809938,3.020283,2024,11,France,HUMAN_OBSERVATION
42.809938,3.020283,2024,11,France,HUMAN_OBSERVATION
42.810192,3.020387,2024,11,France,HUMAN_OBSERVATION
42.836422,3.023084,2024,11,France,HUMAN_OBSERVATION
42.83657,3.023176,2024,11,France,HUMAN_OBSERVATION
42.83657,3.023176,2024,11,France,HUMAN_OBSERVATION
42.84352,3.03517,2019,6,France,HUMAN_OBSERVATION
42.897145,3.01465,2022,11,France,HUMAN_OBSERVATION
43.002103,6.202448,2021,3,France,HUMAN_OBSERVATION
43.01977,6.36228,2022,4,France,HUMAN_OBSERVATION
43.03027,6.24127,2022,4,France,HUMAN_OBSERVATION
43.058574,3.003841,2022,12,France,HUMAN_OBSERVATION
43.058574,3.003841,2022,12,France,HUMAN_OBSERVATION
43.058574,3.003841,2022,12,France,HUMAN_OBSERVATION
43.15528,5.62333,2019,3,France,HUMAN_OBSERVATION
43.17402,5.39799,2019,11,France,HUMAN_OBSERVATION
43.18232,6.54209,2013,8,France,HUMAN_OBSERVATION
43.304444,-2.2,2001,7,Spain,MATERIAL_SAMPLE
43.304444,-2.2,2001,7,Spain,MATERIAL_SAMPLE
