latitude,longitude,year,month,country,basisOfRecord
40.452674,-8.805423,2024,3,Portugal,HUMAN_OBSERVATION
42.251113,-8.827738,2024,3,Spain,HUMAN_OBSERVATION
42.56014,-8.888603,2016,5,Spain,HUMAN_OBSERVATION
42.625603,-8.783606,2021,9,Spain,HUMAN_OBSERVATION
43.42472,3.7,2022,11,France,HUMAN_OBSERVATION
43.42472,3.7,2021,10,France,HUMAN_OBSERVATION
43.42472,3.7,2021,11,France,HUMAN_OBSERVATION
43.42472,3.7,2020,8,France,HUMAN_OBSERVATION
43.52279,3.98186,2018,9,France,HUMAN_OBSERVATION
47.29958,-2.53633,2022,4,France,HUMAN_OBSERVATION
47.35452,-2.5207,2022,6,France,HUMAN_OBSERVATION
47.66122,-3.21095,2018,10,France,HUMAN_OBSERVATION
47.6714,-3.2083,2018,10,France,HUMAN_OBSERVATION
47.67445,-3.19909,2018,10,France,HUMAN_OBSERVATION
47.70414,-3.47336,2022,7,France,HUMAN_OBSERVATION
47.7208,-3.99988,2018,6,France,HUMAN_OBSERVATION
47.869778,-3.914585,2024,7,France,HUMAN_OBSERVATION
47.870112,-3.91472,2024,7,France,HUMAN_OBSERVATION
48.1536,-4.41225,2018,8,France,HUMAN_OBSERVATION
48.1536,-4.41225,2018,8,France,HUMAN_OBSERVATION
48.20591,-4.45212,2018,8,France,HUMAN_OBSERVATION
48.29384,-4.45354,2018,8,France,HUMAN_OBSERVATION
48.3483,-4.70258,2018,3,France,HUMAN_OBSERVATION
48.68,-2.071,2020,8,France,HUMAN_OBSERVATION
49.3561,-0.62465,2012,2,France,HUMAN_OBSERVATION
49.46517,0.28025,2019,10,France,HUMAN_OBSERVATION
49.48892,0.11775,2023,11,France,HUMAN_OBSERVATION
49.48892,0.11775,2017,10,France,HUMAN_OBSERVATION
49.48892,0.11775,2015,12,France,HUMAN_OBSERVATION
50.14406,-5.027984,2012,11,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.146867,-5.058319,2024,6,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.160442,-5.088535,2006,2,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.160442,-5.088535,2006,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.216168,-5.022037,2010,6,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361075,-4.173498,2006,3,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361854,-4.146959,2023,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361856,-4.131352,2012,2,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361856,-4.131352,2011,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361856,-4.131352,2010,5,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361856,-4.131352,2010,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361856,-4.131352,2006,2,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.361856,-4.131352,2006,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.362113,-4.117303,2006,4,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.362113,-4.117303,2006,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.362113,-4.117303,2005,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.364115,-4.13075,2016,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.364115,-4.13075,2016,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.365014,-4.130791,2016,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.615523,-3.421884,2009,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.714129,-1.980118,2011,6,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.714129,-1.980118,2006,2,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.714129,-1.980118,2004,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.76333,1.5325,2018,4,France,HUMAN_OBSERVATION
50.76333,1.5325,2018,10,France,HUMAN_OBSERVATION
50.76339,1.53259,2018,4,France,HUMAN_OBSERVATION
50.76339,1.53259,2018,4,France,HUMAN_OBSERVATION
50.76339,1.53259,2018,10,France,HUMAN_OBSERVATION
50.77921,-1.068789,2022,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.77921,-1.068789,2022,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.77921,-1.068789,2022,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.791707,-1.114651,2009,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
