latitude,longitude,year,month,country,basisOfRecord
35.343153,25.136605,,,Greece,OCCURRENCE
38.436581,-9.114189,,,Portugal,OCCURRENCE
43.425053,3.699155,2022,3,France,HUMAN_OBSERVATION
43.510338,4.113631,2022,8,France,HUMAN_OBSERVATION
43.510546,4.114081,2022,1,France,HUMAN_OBSERVATION
43.53636,4.13253,2015,5,France,HUMAN_OBSERVATION
43.5551,4.07935,2014,1,France,HUMAN_OBSERVATION
44.644646,-1.238035,2007,5,France,HUMAN_OBSERVATION
44.664317,-1.179646,2024,9,France,HUMAN_OBSERVATION
53.465,6.755,2021,8,Netherlands,HUMAN_OBSERVATION
