latitude,longitude,year,month,country,basisOfRecord
36.7859,-5.354,2003,5,Spain,OCCURRENCE
38.1021,-8.7925,1978,1,Portugal,OCCURRENCE
38.1349,-8.7807,1989,2,Portugal,OCCURRENCE
38.1349,-8.7807,1988,3,Portugal,OCCURRENCE
38.1349,-8.7807,1988,4,Portugal,OCCURRENCE
38.8353,-8.9793,2011,8,Portugal,OCCURRENCE
41.8783,-8.8347,2022,1,Portugal,OCCURRENCE
45.246782,29.740744,2021,9,Ukraine,MATERIAL_SAMPLE
45.326844,29.773612,2012,5,Ukraine,HUMAN_OBSERVATION
45.340271,29.771403,2012,5,Ukraine,HUMAN_OBSERVATION
45.340613,29.767881,2021,9,Ukraine,MATERIAL_SAMPLE
45.34065,29.757115,2011,10,Ukraine,HUMAN_OBSERVATION
45.341476,29.657944,2010,10,Ukraine,HUMAN_OBSERVATION
45.39245,29.609909,2011,8,Ukraine,HUMAN_OBSERVATION
45.447629,29.719422,2011,8,Ukraine,HUMAN_OBSERVATION
45.447629,29.719422,2010,10,Ukraine,HUMAN_OBSERVATION
45.447629,29.719422,2009,8,Ukraine,HUMAN_OBSERVATION
45.465255,29.644309,2010,8,Ukraine,HUMAN_OBSERVATION
45.473124,29.651587,2011,5,Ukraine,HUMAN_OBSERVATION
45.473124,29.651587,2011,10,Ukraine,HUMAN_OBSERVATION
45.477361,29.608929,2011,10,Ukraine,HUMAN_OBSERVATION
45.48609,29.629149,2010,8,Ukraine,HUMAN_OBSERVATION
45.48609,29.629149,2010,8,Ukraine,HUMAN_OBSERVATION
45.542161,29.65321,2009,8,Ukraine,HUMAN_OBSERVATION
45.566094,29.61264,2009,10,Ukraine,HUMAN_OBSERVATION
45.598643,29.74041,2010,4,Ukraine,HUMAN_OBSERVATION
45.70462,5.86232,2023,7,France,HUMAN_OBSERVATION
45.70462,5.86232,2023,7,France,HUMAN_OBSERVATION
45.71073,5.86082,2023,2,France,HUMAN_OBSERVATION
45.71073,5.86082,2022,7,France,HUMAN_OBSERVATION
45.71073,5.86082,2022,7,France,HUMAN_OBSERVATION
45.71073,5.86082,2022,8,France,HUMAN_OBSERVATION
45.71073,5.86082,2022,8,France,HUMAN_OBSERVATION
45.71073,5.86082,2022,11,France,HUMAN_OBSERVATION
45.71983,5.85699,2021,9,France,HUMAN_OBSERVATION
45.72212,5.85679,2021,9,France,HUMAN_OBSERVATION
45.73626,5.84889,2023,7,France,HUMAN_OBSERVATION
45.849599,29.65259,2010,8,Ukraine,HUMAN_OBSERVATION
46.63025,31.418,2008,7,Ukraine,HUMAN_OBSERVATION
46.982667,31.990472,2019,5,Ukraine,HUMAN_OBSERVATION
47.7266,18.7461,2018,8,Hungary,HUMAN_OBSERVATION
49.26953,-0.24279,1974,,France,HUMAN_OBSERVATION
49.4606,6.36413,1974,8,Luxembourg,HUMAN_OBSERVATION
49.4837,6.3613,1984,8,Luxembourg,HUMAN_OBSERVATION
49.5232,6.34694,1984,8,Luxembourg,HUMAN_OBSERVATION
49.5232,6.34694,1984,8,Luxembourg,HUMAN_OBSERVATION
49.5325,6.36026,1984,8,Germany,HUMAN_OBSERVATION
49.6724,6.43132,1974,1,Luxembourg,HUMAN_OBSERVATION
49.6724,6.43686,1973,1,Luxembourg,HUMAN_OBSERVATION
50.18334,4.3875,2019,9,Belgium,HUMAN_OBSERVATION
50.185,4.49667,2022,3,Belgium,HUMAN_OBSERVATION
50.456763,-4.226489,1986,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.456763,-4.226489,1986,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.457688,-4.225124,1986,4,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.458344,-4.237835,1986,4,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.473971,-4.220251,1986,4,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.491917,-4.222502,1986,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.534644,-3.590899,1988,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.537475,-3.581116,1988,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.53933,-3.576945,1988,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.59028,3.39664,2022,4,Belgium,HUMAN_OBSERVATION
50.619662,7.21113,2009,,Germany,HUMAN_OBSERVATION
50.896703,7.008613,2009,,Germany,HUMAN_OBSERVATION
51.0377,4.1125,2015,5,Belgium,HUMAN_OBSERVATION
51.04509,4.0895,2015,5,Belgium,HUMAN_OBSERVATION
51.13439,2.76066,2006,11,Belgium,HUMAN_OBSERVATION
51.28333,4.39106,2016,12,Belgium,HUMAN_OBSERVATION
51.283439,4.390913,2019,12,Belgium,HUMAN_OBSERVATION
51.28355,4.39143,2019,12,Belgium,HUMAN_OBSERVATION
51.28387,4.39153,2023,1,Belgium,HUMAN_OBSERVATION
51.29243,3.11875,2024,7,Belgium,HUMAN_OBSERVATION
51.3,3.85,2025,4,Netherlands,HUMAN_OBSERVATION
51.3,3.85,2024,5,Netherlands,HUMAN_OBSERVATION
51.33402,4.25607,2024,8,Belgium,HUMAN_OBSERVATION
51.3505,3.37246,2002,10,Belgium,HUMAN_OBSERVATION
