latitude,longitude,year,month,country,basisOfRecord
44.64203,-1.23974,2022,2,France,HUMAN_OBSERVATION
44.64203,-1.23974,2022,4,France,HUMAN_OBSERVATION
44.64203,-1.23974,2022,10,France,HUMAN_OBSERVATION
44.64203,-1.23974,2021,4,France,HUMAN_OBSERVATION
44.64203,-1.23974,2021,11,France,HUMAN_OBSERVATION
45.88497,-1.27948,2022,9,France,HUMAN_OBSERVATION
46.05232,-1.38355,2023,2,France,HUMAN_OBSERVATION
47.018937,-2.303514,2019,1,France,HUMAN_OBSERVATION
47.13777,-2.24322,2023,2,France,HUMAN_OBSERVATION
47.29383,-2.54824,2022,11,France,HUMAN_OBSERVATION
47.30007,-2.5361,2022,3,France,HUMAN_OBSERVATION
47.44045,-2.48102,2022,3,France,HUMAN_OBSERVATION
47.44855,-2.49319,2022,3,France,HUMAN_OBSERVATION
47.47748,-2.49326,2022,4,France,HUMAN_OBSERVATION
47.5687,-2.91411,2022,5,France,HUMAN_OBSERVATION
47.602973,-2.757214,2023,3,France,HUMAN_OBSERVATION
47.70868,-3.36308,2023,3,France,HUMAN_OBSERVATION
47.78868,-4.26779,2018,4,France,HUMAN_OBSERVATION
47.79372,-4.36458,2016,1,France,HUMAN_OBSERVATION
47.86861,-3.92833,2015,3,France,HUMAN_OBSERVATION
48.32548,-4.39306,2016,10,France,HUMAN_OBSERVATION
48.3483,-4.70258,2018,3,France,HUMAN_OBSERVATION
48.43774,-5.11563,2021,8,France,HUMAN_OBSERVATION
48.53653,-1.969686,2024,2,France,HUMAN_OBSERVATION
48.539646,-1.970372,2022,3,France,HUMAN_OBSERVATION
48.57114,-1.98165,2021,1,France,HUMAN_OBSERVATION
48.571262,-1.980671,2023,11,France,HUMAN_OBSERVATION
48.576754,-1.996214,2025,4,France,HUMAN_OBSERVATION
48.60045,-2.18817,2010,3,France,HUMAN_OBSERVATION
48.613801,-2.199475,2008,10,France,HUMAN_OBSERVATION
48.61547,-2.15053,2012,3,France,HUMAN_OBSERVATION
48.618713,-2.157536,2024,2,France,HUMAN_OBSERVATION
48.62173,-2.2052,2021,3,France,HUMAN_OBSERVATION
48.62318,-2.01402,2021,3,France,HUMAN_OBSERVATION
48.626661,-2.031924,2024,2,France,HUMAN_OBSERVATION
48.65251,-2.03204,2021,7,France,HUMAN_OBSERVATION
48.653586,-2.023564,2018,12,France,HUMAN_OBSERVATION
48.654322,-2.024196,2022,4,France,HUMAN_OBSERVATION
48.65623,-2.02191,2022,10,France,HUMAN_OBSERVATION
48.68244,-1.98737,2021,7,France,HUMAN_OBSERVATION
48.6925,-1.91472,2023,11,France,HUMAN_OBSERVATION
48.6925,-1.91472,2023,11,France,HUMAN_OBSERVATION
48.6925,-1.91472,2023,11,France,HUMAN_OBSERVATION
48.692765,-1.913796,2024,3,France,HUMAN_OBSERVATION
48.76409,-2.95756,2011,8,France,HUMAN_OBSERVATION
48.76409,-2.95756,2011,12,France,HUMAN_OBSERVATION
