latitude,longitude,year,month,country,basisOfRecord
35.305628,25.420473,2017,6,Greece,HUMAN_OBSERVATION
37.176827,-7.4546,2024,4,Portugal,HUMAN_OBSERVATION
37.996865,23.417265,2024,10,Greece,HUMAN_OBSERVATION
38.460487,-8.849452,2022,2,Portugal,HUMAN_OBSERVATION
38.462379,23.5867,2025,1,Greece,HUMAN_OBSERVATION
38.480277,-9.186276,2024,11,Portugal,HUMAN_OBSERVATION
38.481736,-8.878629,2025,4,Portugal,HUMAN_OBSERVATION
38.510655,-8.914807,2024,9,Portugal,HUMAN_OBSERVATION
38.562587,-9.191583,2024,10,Portugal,HUMAN_OBSERVATION
38.59893,-9.208841,2025,1,Portugal,HUMAN_OBSERVATION
38.603869,-9.211861,2025,4,Portugal,HUMAN_OBSERVATION
38.644882,-9.089991,2025,2,Portugal,HUMAN_OBSERVATION
38.644917,-9.081497,2024,9,Portugal,HUMAN_OBSERVATION
38.645066,-9.089799,2024,10,Portugal,HUMAN_OBSERVATION
38.646667,-9.093056,2023,7,Portugal,HUMAN_OBSERVATION
38.650079,-9.101325,2024,11,Portugal,HUMAN_OBSERVATION
38.65066,-9.101993,2024,9,Portugal,HUMAN_OBSERVATION
38.653799,-9.119718,2023,5,Portugal,HUMAN_OBSERVATION
38.658778,-9.070758,2024,4,Portugal,HUMAN_OBSERVATION
38.664953,-9.253244,2022,10,Portugal,HUMAN_OBSERVATION
38.665333,-9.255725,2025,3,Portugal,HUMAN_OBSERVATION
38.6658,-9.075218,2024,10,Portugal,HUMAN_OBSERVATION
38.668339,-9.244881,2025,3,Portugal,HUMAN_OBSERVATION
38.673087,-9.149689,2024,8,Portugal,HUMAN_OBSERVATION
38.673625,-9.233385,2024,8,Portugal,HUMAN_OBSERVATION
38.673811,-9.232585,2024,9,Portugal,HUMAN_OBSERVATION
38.706517,-9.136758,2023,5,Portugal,HUMAN_OBSERVATION
38.706593,-9.137019,2022,7,Portugal,HUMAN_OBSERVATION
38.729267,-9.009631,2023,3,Portugal,HUMAN_OBSERVATION
39.512498,-9.137264,2023,10,Portugal,HUMAN_OBSERVATION
39.859287,3.100119,2023,10,Spain,HUMAN_OBSERVATION
40.058404,-8.864428,2024,10,Portugal,HUMAN_OBSERVATION
40.111693,-8.871961,2021,12,Portugal,HUMAN_OBSERVATION
40.146754,-8.86751,2022,12,Portugal,HUMAN_OBSERVATION
40.147162,-8.867518,2022,12,Portugal,HUMAN_OBSERVATION
40.148056,-8.865278,2021,12,Portugal,HUMAN_OBSERVATION
40.172314,-8.894277,2024,3,Portugal,HUMAN_OBSERVATION
40.172812,-8.894565,2022,9,Portugal,HUMAN_OBSERVATION
40.18154,-8.845689,2025,3,Portugal,HUMAN_OBSERVATION
40.207041,-8.898853,2023,12,Portugal,HUMAN_OBSERVATION
40.224484,-8.890233,2023,12,Portugal,HUMAN_OBSERVATION
40.226834,-8.888976,2025,2,Portugal,HUMAN_OBSERVATION
40.302463,-3.44193,2015,2,Spain,HUMAN_OBSERVATION
40.333136,-8.843854,2025,1,Portugal,HUMAN_OBSERVATION
40.336872,-8.842661,2023,12,Portugal,HUMAN_OBSERVATION
40.337501,-8.842389,2023,12,Portugal,HUMAN_OBSERVATION
40.338243,-8.842104,2023,12,Portugal,HUMAN_OBSERVATION
40.340127,-8.841885,2024,12,Portugal,HUMAN_OBSERVATION
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.426762,-8.812083,2024,12,Portugal,HUMAN_OBSERVATION
40.43093,-8.751301,2023,12,Portugal,HUMAN_OBSERVATION
40.435748,-8.808744,2024,11,Portugal,HUMAN_OBSERVATION
40.436305,-8.808848,2024,6,Portugal,HUMAN_OBSERVATION
40.443954,-8.807492,2024,1,Portugal,HUMAN_OBSERVATION
40.448235,-8.807176,2024,11,Portugal,HUMAN_OBSERVATION
40.448782,-8.807525,2024,11,Portugal,HUMAN_OBSERVATION
40.453162,-8.804768,2022,12,Portugal,HUMAN_OBSERVATION
40.46248,-8.80216,2023,7,Portugal,HUMAN_OBSERVATION
40.462569,-8.801903,2023,6,Portugal,HUMAN_OBSERVATION
40.46316,-8.801798,2023,8,Portugal,HUMAN_OBSERVATION
40.464208,-8.801306,2023,6,Portugal,HUMAN_OBSERVATION
40.467332,-8.800392,2024,9,Portugal,HUMAN_OBSERVATION
40.471954,-8.79828,2023,7,Portugal,HUMAN_OBSERVATION
40.471958,-8.79832,2023,7,Portugal,HUMAN_OBSERVATION
40.47262,-8.798112,2023,7,Portugal,HUMAN_OBSERVATION
40.475217,-8.79729,2023,7,Portugal,HUMAN_OBSERVATION
40.481672,-8.793819,2022,12,Portugal,HUMAN_OBSERVATION
40.48289,-8.793933,2025,2,Portugal,HUMAN_OBSERVATION
40.483372,-8.793487,2023,9,Portugal,HUMAN_OBSERVATION
40.483599,-8.793546,2023,9,Portugal,HUMAN_OBSERVATION
40.486609,-8.792704,2025,2,Portugal,HUMAN_OBSERVATION
40.48921,-8.792158,2023,12,Portugal,HUMAN_OBSERVATION
40.489264,-8.792936,2024,6,Portugal,HUMAN_OBSERVATION
40.489376,-8.792621,2022,2,Portugal,HUMAN_OBSERVATION
40.489376,-8.792621,2022,2,Portugal,HUMAN_OBSERVATION
40.490015,-8.793017,2023,9,Portugal,HUMAN_OBSERVATION
40.490042,-8.793628,2022,6,Portugal,HUMAN_OBSERVATION
