latitude,longitude,year,month,country,basisOfRecord
36.928067,-25.07045,2018,,Portugal,HUMAN_OBSERVATION
36.98472,-25.04341,2016,,Portugal,HUMAN_OBSERVATION
37.03565,-25.09881,2016,,Portugal,HUMAN_OBSERVATION
37.479467,-8.802967,2019,9,Portugal,HUMAN_OBSERVATION
37.490017,-8.799817,2019,9,Portugal,HUMAN_OBSERVATION
37.53605,-8.798467,2019,9,Portugal,HUMAN_OBSERVATION
37.543367,-8.793533,2019,9,Portugal,HUMAN_OBSERVATION
37.626967,-8.8147,2019,8,Portugal,HUMAN_OBSERVATION
37.680383,-8.80285,2019,9,Portugal,HUMAN_OBSERVATION
37.694933,-8.801083,2019,9,Portugal,HUMAN_OBSERVATION
37.7001,-25.4436,2019,,Portugal,HUMAN_OBSERVATION
37.7044,-25.4445,2019,,Portugal,HUMAN_OBSERVATION
37.7044,-25.4445,2019,,Portugal,HUMAN_OBSERVATION
37.7058,-25.5144,2019,,Portugal,HUMAN_OBSERVATION
37.7058,-25.5144,2019,,Portugal,HUMAN_OBSERVATION
37.7069,-25.5019,2019,,Portugal,HUMAN_OBSERVATION
37.7069,-25.5019,2019,,Portugal,HUMAN_OBSERVATION
37.7086,-25.47,2019,,Portugal,HUMAN_OBSERVATION
37.7086,-25.47,2019,,Portugal,HUMAN_OBSERVATION
37.7129,-25.373,2019,,Portugal,HUMAN_OBSERVATION
37.7195,-25.5375,2019,,Portugal,HUMAN_OBSERVATION
37.7195,-25.5375,2019,,Portugal,HUMAN_OBSERVATION
37.7268,-25.3104,2019,,Portugal,HUMAN_OBSERVATION
37.7268,-25.3104,2019,,Portugal,HUMAN_OBSERVATION
37.7332,-25.2953,2019,,Portugal,HUMAN_OBSERVATION
37.7332,-25.2953,2019,,Portugal,HUMAN_OBSERVATION
37.7332,-25.2953,2019,,Portugal,HUMAN_OBSERVATION
37.7332,-25.2953,2019,,Portugal,HUMAN_OBSERVATION
37.8334,-25.4336,2019,,Portugal,HUMAN_OBSERVATION
37.8334,-25.4336,2019,,Portugal,HUMAN_OBSERVATION
37.8371,-25.4485,2019,,Portugal,HUMAN_OBSERVATION
37.8428,-25.4981,2019,,Portugal,HUMAN_OBSERVATION
37.8428,-25.4981,2019,,Portugal,HUMAN_OBSERVATION
37.8429,-25.4855,2016,,Portugal,HUMAN_OBSERVATION
37.8456,-25.3999,2019,,Portugal,HUMAN_OBSERVATION
37.8456,-25.3999,2019,,Portugal,HUMAN_OBSERVATION
37.8456,-25.3999,2019,,Portugal,HUMAN_OBSERVATION
37.880817,-8.802683,2019,7,Portugal,HUMAN_OBSERVATION
37.899883,-8.805067,2019,9,Portugal,HUMAN_OBSERVATION
37.902317,-8.805317,2019,9,Portugal,HUMAN_OBSERVATION
37.91,-0.71,2013,7,Spain,HUMAN_OBSERVATION
38.17,-0.48,2002,7,Spain,HUMAN_OBSERVATION
38.406967,-9.19235,2010,7,Portugal,OCCURRENCE
38.406967,-9.19235,2010,8,Portugal,OCCURRENCE
38.406967,-9.19235,2010,8,Portugal,OCCURRENCE
38.406967,-9.19235,2010,8,Portugal,OCCURRENCE
38.406967,-9.19235,2010,8,Portugal,OCCURRENCE
38.406967,-9.19235,2010,8,Portugal,OCCURRENCE
38.40885,-9.195983,2014,9,Portugal,OCCURRENCE
38.409417,-9.195233,2014,10,Portugal,OCCURRENCE
38.412468,-28.284707,2007,,Portugal,HUMAN_OBSERVATION
38.412468,-28.284707,2007,,Portugal,HUMAN_OBSERVATION
38.415467,-9.189067,2014,9,Portugal,OCCURRENCE
38.4165,-9.181583,2014,9,Portugal,OCCURRENCE
38.432567,-9.102,2014,9,Portugal,OCCURRENCE
38.43435,-9.066883,2014,9,Portugal,OCCURRENCE
38.434417,-9.068283,2014,9,Portugal,OCCURRENCE
38.434667,-9.071233,2014,9,Portugal,OCCURRENCE
38.434667,-9.071233,2014,9,Portugal,OCCURRENCE
38.441133,-9.0505,2014,9,Portugal,OCCURRENCE
38.448621,-28.511449,2007,,Portugal,HUMAN_OBSERVATION
38.448621,-28.511449,2007,,Portugal,HUMAN_OBSERVATION
38.47748,-8.973206,,,Portugal,OCCURRENCE
38.4777,-8.97235,2014,9,Portugal,OCCURRENCE
38.509128,-28.288709,2007,,Portugal,HUMAN_OBSERVATION
38.509128,-28.288709,2007,,Portugal,HUMAN_OBSERVATION
