latitude,longitude,year,month,country,basisOfRecord
42.2284,-8.7787,2019,,Spain,OCCURRENCE
42.2284,-8.7787,2019,,Spain,OCCURRENCE
48.68726,-2.32933,2010,8,France,HUMAN_OBSERVATION
48.731555,-3.989466,2005,7,France,HUMAN_OBSERVATION
49.16879,-2.143055,2019,9,Jersey,HUMAN_OBSERVATION
49.1797,-2.160226,2019,9,Jersey,HUMAN_OBSERVATION
49.39152,-1.07859,2021,2,France,HUMAN_OBSERVATION
49.41732,-2.540068,2018,6,Guernsey,HUMAN_OBSERVATION
49.41807,-2.539855,2018,6,Guernsey,HUMAN_OBSERVATION
49.41841,-2.539859,2018,6,Guernsey,HUMAN_OBSERVATION
49.41841,-2.539859,2018,6,Guernsey,HUMAN_OBSERVATION
49.41841,-2.539859,2018,6,Guernsey,HUMAN_OBSERVATION
49.42015,-2.555074,2018,6,Guernsey,HUMAN_OBSERVATION
49.42015,-2.555074,2018,6,Guernsey,HUMAN_OBSERVATION
49.435001,-2.661664,2012,4,Guernsey,MATERIAL_SAMPLE
49.435001,-2.661664,2012,4,Guernsey,MATERIAL_SAMPLE
49.481621,-2.450466,2011,6,Guernsey,HUMAN_OBSERVATION
50.00398,-5.162126,2015,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.096963,-5.124304,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.096963,-5.124304,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.097,-5.122908,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.11906,-5.529741,2018,3,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.11906,-5.529741,2018,3,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.12019,-5.529839,2018,3,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.12058,-5.005385,2016,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.13929,-5.072982,2020,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.13929,-5.072982,2020,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.15174,-5.028568,2016,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.15275,-5.039287,2016,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.15288,-5.036663,2016,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.1529,-5.027814,2016,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.153513,-5.027183,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
