latitude,longitude,year,month,country,basisOfRecord
47.499634,-3.117199,2022,9,France,HUMAN_OBSERVATION
47.500587,-3.117692,2022,9,France,HUMAN_OBSERVATION
51.16535,2.7557,2009,12,Belgium,HUMAN_OBSERVATION
51.22759,2.90128,2012,1,Belgium,HUMAN_OBSERVATION
51.2438,3.22091,2025,1,Belgium,HUMAN_OBSERVATION
51.25547,2.97065,2011,12,Belgium,HUMAN_OBSERVATION
51.525,4.078,2017,3,Netherlands,HUMAN_OBSERVATION
51.525,4.078,2009,10,Netherlands,HUMAN_OBSERVATION
51.55,3.65,2017,12,Netherlands,HUMAN_OBSERVATION
51.59,3.66,2019,3,Netherlands,HUMAN_OBSERVATION
51.778,3.864,2012,6,Netherlands,HUMAN_OBSERVATION
51.83,3.94,2012,1,Netherlands,HUMAN_OBSERVATION
51.84,3.94,2013,2,Netherlands,HUMAN_OBSERVATION
51.84,3.94,2011,1,Netherlands,HUMAN_OBSERVATION
51.84,3.94,2011,2,Netherlands,HUMAN_OBSERVATION
51.94,3.96,2015,3,Netherlands,HUMAN_OBSERVATION
52.61,4.61,2017,12,Netherlands,HUMAN_OBSERVATION
52.64,4.62,2018,1,Netherlands,HUMAN_OBSERVATION
52.81,4.68,2012,3,Netherlands,HUMAN_OBSERVATION
53.025,4.709,2023,2,Netherlands,HUMAN_OBSERVATION
53.1,4.7,2020,7,Netherlands,HUMAN_OBSERVATION
53.1,4.7,2020,7,Netherlands,HUMAN_OBSERVATION
54.46206,-5.609617,2016,5,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.513783,-5.425307,2014,9,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
54.513787,-5.425299,2014,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.83915,-5.795667,2016,3,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
58.87767,11.11181,2021,6,Sweden,HUMAN_OBSERVATION
58.87767,11.11181,2020,7,Sweden,HUMAN_OBSERVATION
58.87767,11.11181,2019,5,Sweden,HUMAN_OBSERVATION
