latitude,longitude,year,month,country,basisOfRecord
43.378147,4.845728,,,France,HUMAN_OBSERVATION
43.37815,4.84573,1997,11,France,HUMAN_OBSERVATION
45.79981,-1.20527,2004,5,France,HUMAN_OBSERVATION
45.79981,-1.20527,2004,5,France,HUMAN_OBSERVATION
45.79981,-1.20527,2004,9,France,HUMAN_OBSERVATION
45.79981,-1.20527,2003,6,France,HUMAN_OBSERVATION
45.79981,-1.20527,2003,7,France,HUMAN_OBSERVATION
45.79981,-1.20527,2003,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,2003,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,2003,11,France,HUMAN_OBSERVATION
45.79981,-1.20527,2002,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,2002,10,France,HUMAN_OBSERVATION
45.79981,-1.20527,2001,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1999,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1999,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1999,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1998,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1998,9,France,HUMAN_OBSERVATION
45.79981,-1.20527,1997,6,France,HUMAN_OBSERVATION
45.79981,-1.20527,1997,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1997,9,France,HUMAN_OBSERVATION
45.79981,-1.20527,1997,9,France,HUMAN_OBSERVATION
45.79981,-1.20527,1997,9,France,HUMAN_OBSERVATION
45.79981,-1.20527,1997,10,France,HUMAN_OBSERVATION
45.79981,-1.20527,1996,6,France,HUMAN_OBSERVATION
45.79981,-1.20527,1996,7,France,HUMAN_OBSERVATION
45.79981,-1.20527,1996,8,France,HUMAN_OBSERVATION
45.79981,-1.20527,1996,9,France,HUMAN_OBSERVATION
45.79981,-1.20527,1996,9,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
45.80764,-1.205604,,,France,HUMAN_OBSERVATION
