latitude,longitude,year,month,country,basisOfRecord
36.433613,-6.164394,2024,8,Spain,HUMAN_OBSERVATION
37.022335,-7.866182,2021,8,Portugal,HUMAN_OBSERVATION
37.031561,-7.994677,2024,7,Portugal,HUMAN_OBSERVATION
37.092277,-8.32976,2008,10,Portugal,HUMAN_OBSERVATION
38.155922,21.390049,2019,4,Greece,HUMAN_OBSERVATION
38.158177,21.377356,2016,5,Greece,HUMAN_OBSERVATION
38.735088,-27.061518,2019,12,Portugal,HUMAN_OBSERVATION
38.735088,-27.061518,,,Portugal,HUMAN_OBSERVATION
39.061917,20.791833,2011,2,Greece,HUMAN_OBSERVATION
39.061917,20.791833,2011,2,Greece,HUMAN_OBSERVATION
39.501944,23.1,1998,8,Greece,HUMAN_OBSERVATION
39.841412,3.119778,2019,9,Spain,HUMAN_OBSERVATION
39.842747,3.119359,2019,9,Spain,HUMAN_OBSERVATION
40.112879,-8.829193,2022,2,Portugal,HUMAN_OBSERVATION
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,2014,12,Spain,MATERIAL_SAMPLE
40.64625,-8.655005,2020,2,Portugal,HUMAN_OBSERVATION
40.64625,-8.655005,,,Portugal,HUMAN_OBSERVATION
40.646652,-8.654201,,,Portugal,OCCURRENCE
40.894055,24.859866,2021,10,Greece,HUMAN_OBSERVATION
41.248001,13.038914,2015,7,Italy,HUMAN_OBSERVATION
41.719908,12.303384,2013,9,Italy,HUMAN_OBSERVATION
41.917688,19.274063,2023,10,Montenegro,HUMAN_OBSERVATION
41.92172,19.260563,2023,4,Montenegro,HUMAN_OBSERVATION
41.923792,19.278174,2023,12,Montenegro,HUMAN_OBSERVATION
41.926479,19.286313,2023,4,Montenegro,HUMAN_OBSERVATION
41.931688,19.284621,2023,4,Montenegro,HUMAN_OBSERVATION
41.931718,19.284589,2023,4,Montenegro,HUMAN_OBSERVATION
41.93174,19.284552,2023,4,Montenegro,HUMAN_OBSERVATION
42.237114,3.111736,2021,9,Spain,HUMAN_OBSERVATION
42.40196,11.359779,2023,2,Italy,HUMAN_OBSERVATION
42.406043,11.370235,2023,2,Italy,HUMAN_OBSERVATION
42.433392,11.203535,2022,2,Italy,HUMAN_OBSERVATION
42.63647,9.45498,2015,5,France,HUMAN_OBSERVATION
42.658696,9.447998,2023,3,France,HUMAN_OBSERVATION
42.672386,11.00673,2011,6,Italy,HUMAN_OBSERVATION
42.672514,11.006687,2022,5,Italy,HUMAN_OBSERVATION
42.766072,10.94483,2015,8,Italy,HUMAN_OBSERVATION
43.07139,3.05332,2021,,France,HUMAN_OBSERVATION
43.09916,3.04473,2004,,France,HUMAN_OBSERVATION
43.12846,3.04692,2022,6,France,HUMAN_OBSERVATION
43.2603,3.2297,2009,5,France,HUMAN_OBSERVATION
43.2603,3.2297,2009,5,France,HUMAN_OBSERVATION
43.27058,3.51475,2022,7,France,HUMAN_OBSERVATION
43.3273,3.52154,2006,5,France,HUMAN_OBSERVATION
43.35047,3.5512,2006,5,France,HUMAN_OBSERVATION
43.35047,3.5512,2006,5,France,HUMAN_OBSERVATION
43.35047,3.5512,2006,5,France,HUMAN_OBSERVATION
43.3644,-1.77484,2012,10,France,HUMAN_OBSERVATION
43.365228,-1.774525,2020,9,France,HUMAN_OBSERVATION
43.37975,5.04958,2020,9,France,HUMAN_OBSERVATION
43.37975,5.04958,2020,9,France,HUMAN_OBSERVATION
43.399277,5.077055,2021,11,France,HUMAN_OBSERVATION
43.399277,5.077055,2021,11,France,HUMAN_OBSERVATION
43.399551,5.073081,2021,12,France,HUMAN_OBSERVATION
43.399604,5.073745,2021,11,France,HUMAN_OBSERVATION
43.39966,5.072994,2022,5,France,HUMAN_OBSERVATION
43.399824,5.136604,2025,3,France,HUMAN_OBSERVATION
43.399824,5.136604,2025,3,France,HUMAN_OBSERVATION
43.404928,5.114711,2022,11,France,HUMAN_OBSERVATION
43.404928,5.114711,2022,11,France,HUMAN_OBSERVATION
43.405024,5.115234,2022,11,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.405101,5.115148,2020,7,France,HUMAN_OBSERVATION
43.4186,3.80942,2022,5,France,HUMAN_OBSERVATION
43.42472,3.7,2022,11,France,HUMAN_OBSERVATION
43.42936,3.76702,2022,3,France,HUMAN_OBSERVATION
43.444668,4.948104,2022,9,France,HUMAN_OBSERVATION
43.452751,4.947948,2022,9,France,HUMAN_OBSERVATION
43.463132,5.223977,2024,10,France,HUMAN_OBSERVATION
43.4643,3.6748,2012,5,France,HUMAN_OBSERVATION
43.46958,3.8291,2021,10,France,HUMAN_OBSERVATION
43.470603,5.020062,2024,4,France,HUMAN_OBSERVATION
43.492674,3.795819,2016,5,France,HUMAN_OBSERVATION
43.49926,3.98083,2023,5,France,HUMAN_OBSERVATION
43.49931,-1.48558,2008,11,France,HUMAN_OBSERVATION
43.49931,-1.48558,2007,6,France,HUMAN_OBSERVATION
43.49931,-1.48558,2007,6,France,HUMAN_OBSERVATION
43.49931,-1.48558,2007,6,France,HUMAN_OBSERVATION
43.49931,-1.48558,2007,6,France,HUMAN_OBSERVATION
43.51127,5.08403,2009,4,France,HUMAN_OBSERVATION
43.51127,5.08403,2009,4,France,HUMAN_OBSERVATION
43.51127,5.08403,2009,4,France,HUMAN_OBSERVATION
43.51127,5.08403,2006,5,France,HUMAN_OBSERVATION
43.51748,3.89254,2006,5,France,HUMAN_OBSERVATION
43.52595,4.13812,2022,7,France,HUMAN_OBSERVATION
43.52746,4.13913,2022,3,France,HUMAN_OBSERVATION
43.52914,3.91687,2015,4,France,HUMAN_OBSERVATION
43.53606,3.96736,2022,5,France,HUMAN_OBSERVATION
43.53735,4.13368,2023,2,France,HUMAN_OBSERVATION
43.54125,3.97124,2022,9,France,HUMAN_OBSERVATION
43.54431,3.92287,2015,4,France,HUMAN_OBSERVATION
43.54431,3.92287,2015,4,France,HUMAN_OBSERVATION
43.55465,3.97887,2008,4,France,HUMAN_OBSERVATION
43.557467,3.912537,2024,9,France,HUMAN_OBSERVATION
43.56598,4.01504,2008,4,France,HUMAN_OBSERVATION
43.57665,4.04988,2008,4,France,HUMAN_OBSERVATION
43.58115,4.04154,2009,5,France,HUMAN_OBSERVATION
43.58931,4.06821,2008,4,France,HUMAN_OBSERVATION
43.58931,4.06821,2008,4,France,HUMAN_OBSERVATION
43.58931,4.06821,2008,4,France,HUMAN_OBSERVATION
43.612641,4.093654,2023,7,France,HUMAN_OBSERVATION
44.64203,-1.23974,2022,2,France,HUMAN_OBSERVATION
44.64203,-1.23974,2022,8,France,HUMAN_OBSERVATION
44.643956,-1.030298,2024,4,France,HUMAN_OBSERVATION
44.64532,-1.03007,2023,11,France,HUMAN_OBSERVATION
45.094754,12.335395,2024,4,Italy,HUMAN_OBSERVATION
45.489661,13.605026,2024,6,Slovenia,HUMAN_OBSERVATION
45.7233,-1.02945,2006,10,France,HUMAN_OBSERVATION
45.73791,-1.06003,2012,5,France,HUMAN_OBSERVATION
45.73833,-1.06056,2009,5,France,HUMAN_OBSERVATION
45.80694,-1.09111,2009,5,France,HUMAN_OBSERVATION
46.40759,-1.57613,2022,12,France,HUMAN_OBSERVATION
46.557397,-1.787061,2008,12,France,HUMAN_OBSERVATION
46.95275,-2.16349,2000,,France,HUMAN_OBSERVATION
47.27308,-2.36024,2021,9,France,HUMAN_OBSERVATION
47.27308,-2.36024,2021,9,France,HUMAN_OBSERVATION
47.61868,-3.18631,2017,2,France,HUMAN_OBSERVATION
47.64042,-2.79163,2005,,France,HUMAN_OBSERVATION
48.34358,-4.5299,2018,3,France,HUMAN_OBSERVATION
48.57943,-1.96772,2021,1,France,HUMAN_OBSERVATION
48.579758,-2.56179,2024,9,France,HUMAN_OBSERVATION
48.622051,-2.292845,2000,2,France,HUMAN_OBSERVATION
48.62641,-2.2873,2009,2,France,HUMAN_OBSERVATION
48.63748,-2.02087,2022,1,France,HUMAN_OBSERVATION
48.63748,-2.02087,2021,10,France,HUMAN_OBSERVATION
49.24095,-0.27902,,,France,HUMAN_OBSERVATION
49.245686,-0.270446,2017,8,France,HUMAN_OBSERVATION
49.26953,-0.24279,,,France,HUMAN_OBSERVATION
49.424042,0.233804,2023,3,France,HUMAN_OBSERVATION
49.42644,0.2327,2022,12,France,HUMAN_OBSERVATION
49.48892,0.11775,2018,4,France,HUMAN_OBSERVATION
50.336893,-4.239148,2018,3,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.357072,-4.104986,2004,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.357387,-4.105142,2016,3,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
