latitude,longitude,year,month,country,basisOfRecord
39.5048,2.46935,2013,8,Spain,HUMAN_OBSERVATION
39.517847,2.472718,2021,8,Spain,HUMAN_OBSERVATION
42.98886,6.39705,2023,4,France,HUMAN_OBSERVATION
43.464267,5.228567,2020,6,France,HUMAN_OBSERVATION
43.489109,5.200975,2023,2,France,HUMAN_OBSERVATION
48.4481,-5.12886,2022,8,France,HUMAN_OBSERVATION
48.45186,-5.12319,2022,8,France,HUMAN_OBSERVATION
48.45194,-5.12306,2022,8,France,HUMAN_OBSERVATION
50.71667,1.61667,2023,8,France,HUMAN_OBSERVATION
51.22589,2.94491,2014,6,Belgium,HUMAN_OBSERVATION
51.22782,2.95458,2014,6,Belgium,HUMAN_OBSERVATION
51.228,2.95278,2014,6,Belgium,HUMAN_OBSERVATION
51.22967,2.96087,2014,6,Belgium,HUMAN_OBSERVATION
51.23019,2.95987,2018,7,Belgium,HUMAN_OBSERVATION
51.5,3.7,2017,7,Netherlands,HUMAN_OBSERVATION
51.5,3.75,2022,7,Netherlands,HUMAN_OBSERVATION
51.5,3.75,2020,6,Netherlands,HUMAN_OBSERVATION
51.5,3.75,2020,8,Netherlands,HUMAN_OBSERVATION
51.5,3.75,2018,7,Netherlands,HUMAN_OBSERVATION
51.5,3.75,2018,8,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2024,6,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2023,7,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2022,6,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2022,6,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2021,6,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2021,8,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2020,7,Netherlands,HUMAN_OBSERVATION
51.5,3.8,2017,7,Netherlands,HUMAN_OBSERVATION
51.5,3.85,2023,7,Netherlands,HUMAN_OBSERVATION
51.5,3.85,2022,6,Netherlands,HUMAN_OBSERVATION
51.5,3.85,2016,7,Netherlands,HUMAN_OBSERVATION
51.5,3.85,2011,6,Netherlands,HUMAN_OBSERVATION
51.5,3.9,2018,7,Netherlands,HUMAN_OBSERVATION
51.5,4.15,2015,5,Netherlands,HUMAN_OBSERVATION
