latitude,longitude,year,month,country,basisOfRecord
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
42.410525,3.162885,2024,8,Spain,HUMAN_OBSERVATION
42.81134,3.04772,2013,1,France,HUMAN_OBSERVATION
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
42.98201,12.763658,,,Italy,MATERIAL_SAMPLE
43.058574,3.003841,2022,12,France,HUMAN_OBSERVATION
43.399335,5.076908,2023,9,France,HUMAN_OBSERVATION
43.399335,5.076908,2023,9,France,HUMAN_OBSERVATION
43.399536,5.073718,2021,12,France,HUMAN_OBSERVATION
43.399566,5.073445,2021,11,France,HUMAN_OBSERVATION
43.399569,5.071719,2021,12,France,HUMAN_OBSERVATION
43.399604,5.073745,2021,11,France,HUMAN_OBSERVATION
43.401669,5.13665,2024,8,France,HUMAN_OBSERVATION
43.401669,5.13665,2024,8,France,HUMAN_OBSERVATION
43.401669,5.13665,2024,8,France,HUMAN_OBSERVATION
43.404642,5.11317,2023,10,France,HUMAN_OBSERVATION
43.404642,5.11317,2023,10,France,HUMAN_OBSERVATION
43.404873,5.114362,2021,7,France,HUMAN_OBSERVATION
43.404949,5.114901,2022,11,France,HUMAN_OBSERVATION
43.404949,5.114901,2022,11,France,HUMAN_OBSERVATION
43.405024,5.115234,2022,11,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.40506,5.11389,2023,8,France,HUMAN_OBSERVATION
43.405101,5.115148,2020,7,France,HUMAN_OBSERVATION
43.405101,5.115148,2020,7,France,HUMAN_OBSERVATION
43.40536,5.115402,2020,8,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.405751,5.116433,2024,4,France,HUMAN_OBSERVATION
43.407517,5.074026,2021,11,France,HUMAN_OBSERVATION
43.421804,3.706233,2022,10,France,HUMAN_OBSERVATION
43.422462,3.706375,2022,11,France,HUMAN_OBSERVATION
43.42465,3.70026,2022,10,France,HUMAN_OBSERVATION
43.42465,3.70026,2022,10,France,HUMAN_OBSERVATION
