latitude,longitude,year,month,country,basisOfRecord
42.2284,-8.7787,2019,,Spain,OCCURRENCE
42.2284,-8.7787,2018,,Spain,OCCURRENCE
54.051168,-4.674729,2003,,Isle of Man,HUMAN_OBSERVATION
55.189782,-7.035184,1939,,Ireland,HUMAN_OBSERVATION
55.189782,-7.035184,1939,,Ireland,HUMAN_OBSERVATION
55.189782,-7.035184,1937,,Ireland,HUMAN_OBSERVATION
55.189782,-7.035184,1937,,Ireland,HUMAN_OBSERVATION
55.891485,-5.663104,1989,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
67.240217,14.711533,,,Norway,OCCURRENCE
67.240217,14.711533,,,Norway,OCCURRENCE
67.240217,14.711533,,,Norway,OCCURRENCE
67.240217,14.711533,,,Norway,OCCURRENCE
67.240217,14.711533,,,Norway,OCCURRENCE
67.24035,14.711733,,,Norway,OCCURRENCE
67.24035,14.711733,,,Norway,OCCURRENCE
67.24035,14.711733,,,Norway,OCCURRENCE
67.24035,14.711733,,,Norway,OCCURRENCE
