latitude,longitude,year,month,country,basisOfRecord
28.088383,-16.740543,2025,3,Spain,HUMAN_OBSERVATION
43.27531,-2.122569,2021,9,Spain,HUMAN_OBSERVATION
43.27531,-2.122569,2018,9,Spain,HUMAN_OBSERVATION
43.27531,-2.122569,2015,9,Spain,HUMAN_OBSERVATION
43.27531,-2.122569,2012,10,Spain,HUMAN_OBSERVATION
43.275612,-2.0965,2021,9,Spain,HUMAN_OBSERVATION
43.275612,-2.0965,2018,9,Spain,HUMAN_OBSERVATION
43.275612,-2.0965,2015,9,Spain,HUMAN_OBSERVATION
43.280825,-2.255167,2022,9,Spain,HUMAN_OBSERVATION
43.280825,-2.255167,2019,10,Spain,HUMAN_OBSERVATION
43.280825,-2.255167,2016,9,Spain,HUMAN_OBSERVATION
43.290587,-2.357743,2021,9,Spain,HUMAN_OBSERVATION
43.293703,-2.247182,2019,10,Spain,HUMAN_OBSERVATION
43.293703,-2.247182,2016,9,Spain,HUMAN_OBSERVATION
43.308616,-1.974026,2022,9,Spain,HUMAN_OBSERVATION
43.308616,-1.974026,2016,10,Spain,HUMAN_OBSERVATION
43.312791,-1.964719,2018,9,Spain,HUMAN_OBSERVATION
43.312791,-1.964719,2016,10,Spain,HUMAN_OBSERVATION
43.320012,-2.419837,2020,10,Spain,HUMAN_OBSERVATION
43.320012,-2.419837,2017,10,Spain,HUMAN_OBSERVATION
43.33616,-3.111753,2021,9,Spain,HUMAN_OBSERVATION
43.33616,-3.111753,2015,10,Spain,HUMAN_OBSERVATION
43.33843,-3.01483,2019,,Spain,OCCURRENCE
43.34246,-3.115392,2015,10,Spain,HUMAN_OBSERVATION
43.3426,-1.77107,2012,10,France,HUMAN_OBSERVATION
43.3426,-1.77107,2012,10,France,HUMAN_OBSERVATION
43.343,-1.7669,2016,10,France,HUMAN_OBSERVATION
43.353083,-2.670361,2020,9,Spain,HUMAN_OBSERVATION
43.353083,-2.670361,2017,9,Spain,HUMAN_OBSERVATION
43.353083,-2.670361,2014,9,Spain,HUMAN_OBSERVATION
43.353083,-2.670361,2011,10,Spain,HUMAN_OBSERVATION
43.355385,-2.502758,2020,9,Spain,HUMAN_OBSERVATION
43.355385,-2.502758,2017,10,Spain,HUMAN_OBSERVATION
43.356949,-2.504128,2020,9,Spain,HUMAN_OBSERVATION
43.356949,-2.504128,2017,10,Spain,HUMAN_OBSERVATION
43.358578,-2.499721,2020,9,Spain,HUMAN_OBSERVATION
43.358578,-2.499721,2014,10,Spain,HUMAN_OBSERVATION
43.3644,-1.77484,2012,10,France,HUMAN_OBSERVATION
43.36452,-1.76643,2008,10,France,HUMAN_OBSERVATION
43.36452,-1.76643,2007,11,France,HUMAN_OBSERVATION
43.36452,-1.76643,,,France,HUMAN_OBSERVATION
43.370734,-2.680621,2011,10,Spain,HUMAN_OBSERVATION
43.383324,-1.663121,2025,3,France,HUMAN_OBSERVATION
43.385094,-2.686336,2017,9,Spain,HUMAN_OBSERVATION
43.38519,-1.6282,1996,8,France,HUMAN_OBSERVATION
43.391371,-2.927151,2020,9,Spain,HUMAN_OBSERVATION
43.39317,-2.938447,2020,9,Spain,HUMAN_OBSERVATION
43.39317,-2.938447,2014,10,Spain,HUMAN_OBSERVATION
43.39317,-2.938447,2011,10,Spain,HUMAN_OBSERVATION
43.400692,-2.945083,2020,9,Spain,HUMAN_OBSERVATION
43.51687,-1.48943,2016,10,France,HUMAN_OBSERVATION
43.52688,-1.4994,2016,10,France,HUMAN_OBSERVATION
43.66791,-1.41238,2008,3,France,HUMAN_OBSERVATION
