latitude,longitude,year,month,country,basisOfRecord
35.343157,25.136721,2020,11,Greece,MATERIAL_SAMPLE
35.343157,25.136721,2020,11,Greece,MATERIAL_SAMPLE
35.343157,25.136721,2020,11,Greece,MATERIAL_SAMPLE
37.931814,23.651063,2021,6,Greece,MATERIAL_SAMPLE
37.931814,23.651063,2021,6,Greece,MATERIAL_SAMPLE
37.931814,23.651063,2021,6,Greece,MATERIAL_SAMPLE
39.036028,20.889694,2011,7,Greece,HUMAN_OBSERVATION
39.036028,20.889694,2010,9,Greece,HUMAN_OBSERVATION
39.036028,20.889694,2010,9,Greece,HUMAN_OBSERVATION
39.036028,20.889694,2010,9,Greece,HUMAN_OBSERVATION
41.381857,12.930149,2024,4,Italy,HUMAN_OBSERVATION
42.103966,11.766961,2023,4,Italy,HUMAN_OBSERVATION
42.50833,3.15183,2019,12,France,HUMAN_OBSERVATION
42.65695,3.02387,2009,5,France,HUMAN_OBSERVATION
43.0363,3.12533,2015,8,France,HUMAN_OBSERVATION
43.106,3.16,2021,4,France,HUMAN_OBSERVATION
43.24415,3.47813,2005,6,France,HUMAN_OBSERVATION
43.3758,3.58704,2009,3,France,HUMAN_OBSERVATION
43.3758,3.58704,2009,3,France,HUMAN_OBSERVATION
43.3758,3.58704,2009,3,France,HUMAN_OBSERVATION
43.39003,3.78213,2001,7,France,HUMAN_OBSERVATION
43.39952,3.7835,2002,,France,HUMAN_OBSERVATION
43.52183,4.01833,2001,,France,HUMAN_OBSERVATION
44.067702,9.835624,2022,7,Italy,MATERIAL_SAMPLE
44.067702,9.835624,2022,7,Italy,MATERIAL_SAMPLE
44.067702,9.835624,2022,7,Italy,MATERIAL_SAMPLE
44.067702,9.835624,2022,7,Italy,MATERIAL_SAMPLE
44.067702,9.835624,2022,7,Italy,MATERIAL_SAMPLE
44.079912,9.828028,2022,7,Italy,MATERIAL_SAMPLE
44.079912,9.828028,2022,7,Italy,MATERIAL_SAMPLE
44.079912,9.828028,2022,7,Italy,MATERIAL_SAMPLE
44.079912,9.828028,2022,7,Italy,MATERIAL_SAMPLE
44.079912,9.828028,2022,7,Italy,MATERIAL_SAMPLE
