latitude,longitude,year,month,country,basisOfRecord
39.51443,20.213496,2022,7,Greece,HUMAN_OBSERVATION
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
45.52,13.57,2013,12,Slovenia,MATERIAL_SAMPLE
