latitude,longitude,year,month,country,basisOfRecord
37.092778,-8.675278,2013,,Portugal,HUMAN_OBSERVATION
37.092778,-8.675278,2011,9,Portugal,HUMAN_OBSERVATION
37.5653,15.1648,2014,9,Italy,MATERIAL_SAMPLE
37.97,-0.69,2003,7,Spain,HUMAN_OBSERVATION
37.97,-0.69,2002,7,Spain,HUMAN_OBSERVATION
38.54,-0.15,2003,7,Spain,HUMAN_OBSERVATION
38.54,-0.15,2003,7,Spain,HUMAN_OBSERVATION
38.54,-0.15,2003,9,Spain,HUMAN_OBSERVATION
39.274181,22.820158,2003,10,Greece,HUMAN_OBSERVATION
39.42,-0.33,2004,5,Spain,HUMAN_OBSERVATION
39.44,-0.31,2020,7,Spain,HUMAN_OBSERVATION
39.45,-0.32,2020,7,Spain,HUMAN_OBSERVATION
40.04,0.08,2003,11,Spain,HUMAN_OBSERVATION
40.04,0.08,2003,11,Spain,HUMAN_OBSERVATION
40.4,0.44,2004,3,Spain,HUMAN_OBSERVATION
41.165833,16.901944,2004,9,Italy,HUMAN_OBSERVATION
41.166111,16.902222,2003,8,Italy,HUMAN_OBSERVATION
41.55,2.483333,2020,,Spain,HUMAN_OBSERVATION
41.55,2.483333,2019,,Spain,HUMAN_OBSERVATION
41.55,2.483333,2018,,Spain,HUMAN_OBSERVATION
41.55,2.483333,2017,,Spain,HUMAN_OBSERVATION
41.551944,2.491111,2010,,Spain,HUMAN_OBSERVATION
41.551944,2.491944,2016,,Spain,HUMAN_OBSERVATION
41.551944,2.491944,2015,,Spain,HUMAN_OBSERVATION
41.551944,2.491944,2014,,Spain,HUMAN_OBSERVATION
41.6663,2.7994,2009,10,Spain,MATERIAL_SAMPLE
41.6666,2.7962,2009,10,Spain,MATERIAL_SAMPLE
41.6686,2.7996,2009,10,Spain,MATERIAL_SAMPLE
42.487,3.169,2017,5,France,MATERIAL_SAMPLE
42.487,3.169,2017,5,France,MATERIAL_SAMPLE
42.62,18.12,,,Croatia,MATERIAL_SAMPLE
42.62,18.12,,,Croatia,MATERIAL_SAMPLE
42.64,18.1,,,Croatia,MATERIAL_SAMPLE
42.64,18.1,,,Croatia,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,8,France,MATERIAL_SAMPLE
43.41,-1.64,2021,9,France,MATERIAL_SAMPLE
43.616667,13.534167,2008,9,Italy,HUMAN_OBSERVATION
43.616667,13.534167,2007,,Italy,HUMAN_OBSERVATION
43.69,7.31,2011,7,France,MATERIAL_SAMPLE
43.75,7.43,,,Monaco,MATERIAL_SAMPLE
44.004444,10.102778,2001,6,Italy,HUMAN_OBSERVATION
44.004444,10.102778,2000,6,Italy,HUMAN_OBSERVATION
44.004722,10.102778,1998,8,Italy,HUMAN_OBSERVATION
44.375,8.941389,2005,7,Italy,HUMAN_OBSERVATION
44.385278,9.0075,2005,7,Italy,HUMAN_OBSERVATION
44.8,13.9,,,Croatia,MATERIAL_SAMPLE
45,13.72,,,Croatia,MATERIAL_SAMPLE
45.07,13.65,,,Croatia,MATERIAL_SAMPLE
45.1,13.63,,,Croatia,MATERIAL_SAMPLE
45.14,13.6,,,Croatia,MATERIAL_SAMPLE
45.2,13.58,,,Croatia,MATERIAL_SAMPLE
