latitude,longitude,year,month,country,basisOfRecord
27.670277,-18.026035,2015,3,Spain,HUMAN_OBSERVATION
27.96399,-15.382254,2016,12,Spain,HUMAN_OBSERVATION
28.107593,-16.72973,2012,11,Spain,HUMAN_OBSERVATION
28.139514,-15.436988,2025,2,Spain,HUMAN_OBSERVATION
28.93093,-13.82837,2025,3,Spain,HUMAN_OBSERVATION
28.934149,-13.824524,2012,1,Spain,HUMAN_OBSERVATION
29.132952,-13.458353,2024,11,Spain,HUMAN_OBSERVATION
29.2085,-13.4269,2025,3,Spain,HUMAN_OBSERVATION
35.014521,25.849054,2016,7,Greece,HUMAN_OBSERVATION
35.014741,25.849548,2016,7,Greece,HUMAN_OBSERVATION
35.01505,25.854242,2016,8,Greece,HUMAN_OBSERVATION
35.015489,25.847294,2010,10,Greece,HUMAN_OBSERVATION
35.047303,24.754553,2021,9,Greece,HUMAN_OBSERVATION
35.047325,24.754581,2021,9,Greece,HUMAN_OBSERVATION
35.047353,24.754628,2021,8,Greece,HUMAN_OBSERVATION
35.049082,26.240538,2022,8,Greece,HUMAN_OBSERVATION
35.220042,26.070264,2021,8,Greece,HUMAN_OBSERVATION
35.299118,25.492529,2024,10,Greece,HUMAN_OBSERVATION
35.308546,25.52072,2012,6,Greece,HUMAN_OBSERVATION
35.30969,25.520701,2018,9,Greece,HUMAN_OBSERVATION
35.313482,25.398847,2020,7,Greece,HUMAN_OBSERVATION
35.322887,25.390322,2022,7,Greece,HUMAN_OBSERVATION
35.333705,25.243164,2023,10,Greece,HUMAN_OBSERVATION
35.336719,25.337196,2024,9,Greece,HUMAN_OBSERVATION
35.342838,25.136653,2025,6,Greece,HUMAN_OBSERVATION
35.371958,24.474997,2022,9,Greece,HUMAN_OBSERVATION
35.493437,27.111288,2022,7,Greece,HUMAN_OBSERVATION
35.502289,24.176957,2021,9,Greece,HUMAN_OBSERVATION
35.511545,23.995376,2022,7,Greece,HUMAN_OBSERVATION
35.513165,23.634451,2024,9,Greece,HUMAN_OBSERVATION
35.514778,23.635938,2019,3,Greece,HUMAN_OBSERVATION
35.5148,23.6359,2019,3,Greece,HUMAN_OBSERVATION
35.514831,23.989083,2018,8,Greece,HUMAN_OBSERVATION
35.516771,23.985029,2024,9,Greece,HUMAN_OBSERVATION
35.517578,23.989296,2023,10,Greece,HUMAN_OBSERVATION
35.579437,23.588549,2023,4,Greece,HUMAN_OBSERVATION
35.581933,23.586695,2023,6,Greece,HUMAN_OBSERVATION
35.840845,14.569178,2024,11,Malta,HUMAN_OBSERVATION
35.870654,23.283812,2021,9,Greece,HUMAN_OBSERVATION
35.889387,-5.321346,2014,8,Spain,HUMAN_OBSERVATION
35.890983,14.513637,2024,7,Malta,HUMAN_OBSERVATION
35.905028,14.506139,2021,10,Malta,HUMAN_OBSERVATION
35.917913,14.492804,2022,1,Malta,HUMAN_OBSERVATION
35.944513,14.452283,2022,8,Malta,HUMAN_OBSERVATION
35.955412,14.416662,2022,12,Malta,HUMAN_OBSERVATION
35.965444,14.395989,2024,1,Malta,HUMAN_OBSERVATION
35.980006,14.359733,2023,3,Malta,HUMAN_OBSERVATION
35.996209,14.367014,2023,3,Malta,HUMAN_OBSERVATION
36.005482,-5.608408,2022,9,Spain,HUMAN_OBSERVATION
36.012255,-5.588914,2018,7,Spain,HUMAN_OBSERVATION
36.053772,14.26911,2024,10,Malta,HUMAN_OBSERVATION
36.070204,-5.431501,2015,1,Spain,HUMAN_OBSERVATION
36.070281,-5.431605,2014,1,Spain,HUMAN_OBSERVATION
36.0709,-5.750405,2022,3,Spain,HUMAN_OBSERVATION
36.078431,-5.760562,2025,3,Spain,HUMAN_OBSERVATION
36.08635,-5.443678,2024,9,Spain,HUMAN_OBSERVATION
36.107408,-5.431553,2021,5,Spain,HUMAN_OBSERVATION
36.182329,-6.031966,2016,8,Spain,HUMAN_OBSERVATION
36.184237,-6.014056,2019,8,Spain,HUMAN_OBSERVATION
36.376147,-6.196276,2011,7,Spain,HUMAN_OBSERVATION
36.379659,-6.201267,2020,7,Spain,HUMAN_OBSERVATION
36.386696,-6.201931,2024,7,Spain,HUMAN_OBSERVATION
36.44123,23.145037,2024,7,Greece,HUMAN_OBSERVATION
36.4665,22.977178,2022,9,Greece,HUMAN_OBSERVATION
36.466531,22.977381,2011,9,Greece,HUMAN_OBSERVATION
36.470503,23.066504,2019,11,Greece,HUMAN_OBSERVATION
36.471865,23.066582,2022,7,Greece,HUMAN_OBSERVATION
36.481258,-6.260545,2016,2,Spain,HUMAN_OBSERVATION
36.483682,-6.266368,2025,3,Spain,HUMAN_OBSERVATION
36.48975,-4.700187,2023,4,Spain,HUMAN_OBSERVATION
36.515662,-6.287802,2020,2,Spain,HUMAN_OBSERVATION
36.516538,-6.287968,2024,9,Spain,HUMAN_OBSERVATION
36.517276,-6.286325,2022,9,Spain,HUMAN_OBSERVATION
36.528132,-6.310142,2024,7,Spain,HUMAN_OBSERVATION
36.52826,-6.30595,2023,5,Spain,HUMAN_OBSERVATION
