latitude,longitude,year,month,country,basisOfRecord
37.59228,-0.986564,2023,9,Spain,HUMAN_OBSERVATION
37.592538,-0.986387,2024,9,Spain,HUMAN_OBSERVATION
37.592538,-0.986387,2023,9,Spain,HUMAN_OBSERVATION
37.592538,-0.986387,2023,9,Spain,HUMAN_OBSERVATION
42.097493,11.776785,2022,4,Italy,HUMAN_OBSERVATION
43.42445,-1.67256,,,France,HUMAN_OBSERVATION
43.44014,-1.65372,,,France,HUMAN_OBSERVATION
43.5551,4.07935,2014,1,France,HUMAN_OBSERVATION
44.6775,-1.10333,2015,3,France,HUMAN_OBSERVATION
44.6775,-1.10333,2013,4,France,HUMAN_OBSERVATION
