latitude,longitude,year,month,country,basisOfRecord
43.421291,4.921123,2022,3,France,HUMAN_OBSERVATION
43.422662,4.917733,2022,3,France,HUMAN_OBSERVATION
44.62848,-1.24306,2021,7,France,HUMAN_OBSERVATION
47.28644,-2.52363,2023,8,France,HUMAN_OBSERVATION
47.29383,-2.54824,2022,7,France,HUMAN_OBSERVATION
47.36425,-2.53168,2022,6,France,HUMAN_OBSERVATION
47.36521,-2.53153,2022,5,France,HUMAN_OBSERVATION
47.38697,-2.529831,2024,9,France,HUMAN_OBSERVATION
47.40833,-2.62361,2014,9,France,HUMAN_OBSERVATION
47.40972,-2.61861,2014,6,France,HUMAN_OBSERVATION
47.41056,-2.61694,2014,9,France,HUMAN_OBSERVATION
47.41167,-2.62806,2014,6,France,HUMAN_OBSERVATION
47.41417,-2.6225,2014,9,France,HUMAN_OBSERVATION
47.487381,-3.101542,2022,9,France,HUMAN_OBSERVATION
47.487381,-3.101542,2022,9,France,HUMAN_OBSERVATION
47.487381,-3.101542,2022,9,France,HUMAN_OBSERVATION
47.56904,-2.90619,2014,5,France,HUMAN_OBSERVATION
47.656694,-3.209949,2020,8,France,HUMAN_OBSERVATION
47.6714,-3.2083,2017,4,France,HUMAN_OBSERVATION
47.6714,-3.2083,2016,6,France,HUMAN_OBSERVATION
47.6714,-3.2083,2016,6,France,HUMAN_OBSERVATION
47.70241,-3.38338,2020,9,France,HUMAN_OBSERVATION
47.80663,-3.71601,2018,6,France,HUMAN_OBSERVATION
47.80708,-3.71284,2018,6,France,HUMAN_OBSERVATION
48.30466,-4.64344,2022,7,France,HUMAN_OBSERVATION
48.32548,-4.39306,2021,8,France,HUMAN_OBSERVATION
48.568796,-1.979144,2023,5,France,HUMAN_OBSERVATION
48.57014,-1.97771,2020,8,France,HUMAN_OBSERVATION
48.57114,-1.98165,2022,2,France,HUMAN_OBSERVATION
48.57114,-1.98165,2021,9,France,HUMAN_OBSERVATION
48.57114,-1.98165,2021,10,France,HUMAN_OBSERVATION
48.57116,-1.98165,2020,8,France,HUMAN_OBSERVATION
48.57116,-1.98165,2020,8,France,HUMAN_OBSERVATION
48.57116,-1.98165,2020,9,France,HUMAN_OBSERVATION
48.57116,-1.98165,2020,10,France,HUMAN_OBSERVATION
48.57123,-1.98367,2021,9,France,HUMAN_OBSERVATION
48.59619,-2.01798,2022,2,France,HUMAN_OBSERVATION
48.59619,-2.01798,2021,2,France,HUMAN_OBSERVATION
48.59619,-2.01798,2021,2,France,HUMAN_OBSERVATION
48.59619,-2.01798,2021,5,France,HUMAN_OBSERVATION
48.59619,-2.01798,2021,7,France,HUMAN_OBSERVATION
48.59619,-2.01798,2021,8,France,HUMAN_OBSERVATION
48.59619,-2.01798,2020,10,France,HUMAN_OBSERVATION
48.60343,-2.02022,2022,7,France,HUMAN_OBSERVATION
48.62806,-2.02806,2020,7,France,HUMAN_OBSERVATION
48.6373,-2.0217,2021,6,France,HUMAN_OBSERVATION
48.63767,-2.02248,2021,6,France,HUMAN_OBSERVATION
48.639871,-2.246114,2025,4,France,HUMAN_OBSERVATION
48.639935,-2.246243,2025,4,France,HUMAN_OBSERVATION
48.65528,-2.13955,2020,7,France,HUMAN_OBSERVATION
48.66203,-2.27538,2017,7,France,HUMAN_OBSERVATION
48.670151,-4.469221,2019,8,France,HUMAN_OBSERVATION
48.67159,-1.98617,2021,11,France,HUMAN_OBSERVATION
48.68,-2.071,2021,9,France,HUMAN_OBSERVATION
48.68244,-1.98737,2021,7,France,HUMAN_OBSERVATION
48.68324,-2.0437,2020,7,France,HUMAN_OBSERVATION
48.68674,-1.96029,2021,3,France,HUMAN_OBSERVATION
48.71751,-3.96649,2019,,France,OCCURRENCE
48.71751,-3.96649,2019,,France,OCCURRENCE
48.71751,-3.96649,2018,,France,OCCURRENCE
48.78329,-3.583153,2022,7,France,HUMAN_OBSERVATION
48.79089,-3.09395,2017,8,France,HUMAN_OBSERVATION
48.83585,-3.51022,2021,8,France,HUMAN_OBSERVATION
48.86983,-1.8045,2016,9,France,HUMAN_OBSERVATION
48.87667,-1.8,2012,5,France,HUMAN_OBSERVATION
48.87738,-1.80931,2012,9,France,HUMAN_OBSERVATION
48.8779,-1.79918,2016,9,France,HUMAN_OBSERVATION
48.88803,-1.80372,,,France,HUMAN_OBSERVATION
49.14847,-2.0097,2020,6,Jersey,HUMAN_OBSERVATION
49.162,-2.023,2019,7,Jersey,HUMAN_OBSERVATION
49.169857,-2.175458,2023,7,Jersey,HUMAN_OBSERVATION
49.17236,-2.228476,2017,8,Jersey,HUMAN_OBSERVATION
49.17236,-2.228476,2017,8,Jersey,HUMAN_OBSERVATION
49.1743,-2.11367,2024,2,Jersey,HUMAN_OBSERVATION
49.17463,-2.207891,2013,7,Jersey,HUMAN_OBSERVATION
49.17463,-2.207891,2013,7,Jersey,HUMAN_OBSERVATION
49.17532,-2.191319,2021,7,Jersey,HUMAN_OBSERVATION
49.1815,-2.111,2019,10,Jersey,HUMAN_OBSERVATION
49.1823,-2.1105,2019,3,Jersey,HUMAN_OBSERVATION
49.203116,-2.01589,2019,4,Jersey,HUMAN_OBSERVATION
49.24518,-2.06417,2015,6,Jersey,HUMAN_OBSERVATION
49.25651,-2.215966,2017,8,Jersey,HUMAN_OBSERVATION
49.25847,-2.224269,2020,8,Jersey,HUMAN_OBSERVATION
49.25925,-2.222266,2017,8,Jersey,HUMAN_OBSERVATION
49.26163,-2.150883,2013,7,Jersey,HUMAN_OBSERVATION
49.26435,-2.129076,2015,6,Jersey,HUMAN_OBSERVATION
