latitude,longitude,year,month,country,basisOfRecord
42.142246,3.109689,2013,4,Spain,HUMAN_OBSERVATION
42.173073,3.109818,2013,3,Spain,HUMAN_OBSERVATION
42.173073,3.109818,2010,10,Spain,HUMAN_OBSERVATION
43.02736,3.03869,2019,6,France,HUMAN_OBSERVATION
44.653595,-1.200812,2024,8,France,HUMAN_OBSERVATION
45.88349,-1.27952,2022,9,France,HUMAN_OBSERVATION
46.04194,-1.39,2014,3,France,HUMAN_OBSERVATION
46.2355,-1.3585,2018,6,France,HUMAN_OBSERVATION
46.24522,-1.56308,2022,3,France,HUMAN_OBSERVATION
46.34088,-1.4325,2022,12,France,HUMAN_OBSERVATION
47.02913,-2.28268,2021,3,France,HUMAN_OBSERVATION
47.246645,-2.165807,2023,5,France,HUMAN_OBSERVATION
49.286866,-0.2131,2021,10,France,HUMAN_OBSERVATION
49.286881,-0.202876,2023,6,France,HUMAN_OBSERVATION
49.286892,-0.202851,2023,6,France,HUMAN_OBSERVATION
49.290452,-0.268069,2024,3,France,HUMAN_OBSERVATION
49.290452,-0.268069,2024,3,France,HUMAN_OBSERVATION
49.291665,-0.264445,2022,10,France,HUMAN_OBSERVATION
49.291982,-0.261957,2024,10,France,HUMAN_OBSERVATION
49.292993,-0.277333,2024,11,France,HUMAN_OBSERVATION
49.33772,-0.465868,2024,4,France,HUMAN_OBSERVATION
49.339864,-0.480422,2018,6,France,HUMAN_OBSERVATION
49.339908,-0.48152,2018,6,France,HUMAN_OBSERVATION
49.344106,-0.505679,2018,9,France,HUMAN_OBSERVATION
49.34467,-0.51564,2018,9,France,HUMAN_OBSERVATION
49.34467,-0.51564,2018,9,France,HUMAN_OBSERVATION
49.34467,-0.51564,2018,9,France,HUMAN_OBSERVATION
49.370777,0.08171,2020,10,France,HUMAN_OBSERVATION
49.371818,-0.880615,2019,8,France,HUMAN_OBSERVATION
50.071228,1.3863,2024,7,France,HUMAN_OBSERVATION
50.071228,1.3863,2024,7,France,HUMAN_OBSERVATION
50.071878,1.384438,2024,8,France,HUMAN_OBSERVATION
50.216019,1.558059,2023,3,France,HUMAN_OBSERVATION
