latitude,longitude,year,month,country,basisOfRecord
37.989327,-1.166818,2020,11,Spain,HUMAN_OBSERVATION
38.210561,-1.834122,2021,4,Spain,HUMAN_OBSERVATION
40.642681,22.835087,2024,11,Greece,HUMAN_OBSERVATION
40.67,0.57,2008,8,Spain,OCCURRENCE
40.67,0.57,2002,9,Spain,OCCURRENCE
40.76,0.57,2008,8,Spain,OCCURRENCE
40.85,0.56,2019,8,Spain,OCCURRENCE
40.85,0.56,2018,9,Spain,OCCURRENCE
40.85,0.56,2005,7,Spain,OCCURRENCE
40.93,0.44,2015,8,Spain,OCCURRENCE
40.93,0.44,2014,9,Spain,OCCURRENCE
40.93,0.44,2013,8,Spain,OCCURRENCE
40.93,0.44,2011,7,Spain,OCCURRENCE
40.93,0.44,2005,7,Spain,OCCURRENCE
40.93,0.44,,,Spain,OCCURRENCE
40.94,0.56,2021,9,Spain,OCCURRENCE
40.94,0.56,2019,8,Spain,OCCURRENCE
40.94,0.56,2019,8,Spain,OCCURRENCE
40.94,0.56,2018,9,Spain,OCCURRENCE
40.94,0.56,2018,9,Spain,OCCURRENCE
40.94,0.56,2014,9,Spain,OCCURRENCE
40.94,0.56,2006,9,Spain,OCCURRENCE
40.94,0.56,2005,7,Spain,OCCURRENCE
40.94,0.56,2003,8,Spain,OCCURRENCE
41.03,0.56,2022,8,Spain,OCCURRENCE
41.03,0.56,2020,7,Spain,OCCURRENCE
41.03,0.56,2019,8,Spain,OCCURRENCE
41.03,0.56,2018,9,Spain,OCCURRENCE
41.03,0.56,2018,9,Spain,OCCURRENCE
41.03,0.56,,,Spain,OCCURRENCE
41.12,0.67,2020,7,Spain,OCCURRENCE
41.12,0.67,2019,8,Spain,OCCURRENCE
41.12,0.67,2018,9,Spain,OCCURRENCE
41.12,0.67,2017,9,Spain,OCCURRENCE
41.12,0.67,2015,8,Spain,OCCURRENCE
41.12,0.67,2014,9,Spain,OCCURRENCE
41.12,0.67,2014,9,Spain,OCCURRENCE
41.12,0.67,2013,8,Spain,OCCURRENCE
41.12,0.67,,,Spain,OCCURRENCE
41.21,0.55,2021,9,Spain,OCCURRENCE
41.21,0.55,2020,7,Spain,OCCURRENCE
41.21,0.55,2020,7,Spain,OCCURRENCE
41.21,0.55,2020,7,Spain,OCCURRENCE
41.21,0.55,2019,8,Spain,OCCURRENCE
41.21,0.55,2019,8,Spain,OCCURRENCE
41.21,0.55,2019,8,Spain,OCCURRENCE
41.21,0.55,2018,9,Spain,OCCURRENCE
41.21,0.55,2018,9,Spain,OCCURRENCE
41.21,0.55,2017,9,Spain,OCCURRENCE
41.21,0.55,2017,9,Spain,OCCURRENCE
41.21,0.55,2017,9,Spain,OCCURRENCE
41.21,0.55,2016,9,Spain,OCCURRENCE
41.21,0.55,2016,9,Spain,OCCURRENCE
41.21,0.55,2015,8,Spain,OCCURRENCE
41.21,0.55,2015,8,Spain,OCCURRENCE
41.21,0.55,2014,9,Spain,OCCURRENCE
41.21,0.55,2014,9,Spain,OCCURRENCE
41.21,0.55,2013,8,Spain,OCCURRENCE
41.21,0.55,2003,8,Spain,OCCURRENCE
41.21,0.55,2002,9,Spain,OCCURRENCE
41.21,0.55,,,Spain,OCCURRENCE
41.21,0.55,,,Spain,OCCURRENCE
41.3,0.55,2019,8,Spain,OCCURRENCE
41.3,0.55,2019,8,Spain,OCCURRENCE
41.3,0.55,2018,9,Spain,OCCURRENCE
41.3,0.55,2018,9,Spain,OCCURRENCE
41.47,0.3,2022,7,Spain,OCCURRENCE
41.47,0.42,2002,8,Spain,OCCURRENCE
41.5,1.98,2008,6,Spain,OCCURRENCE
41.5,1.98,2007,6,Spain,OCCURRENCE
41.57,0.54,2002,,Spain,OCCURRENCE
41.57,0.66,2013,8,Spain,OCCURRENCE
41.57,0.66,2010,6,Spain,OCCURRENCE
41.57,0.66,2008,6,Spain,OCCURRENCE
41.59,1.86,2011,6,Spain,OCCURRENCE
41.66,0.65,2019,8,Spain,OCCURRENCE
41.66,0.65,2019,8,Spain,OCCURRENCE
41.66,0.65,2018,8,Spain,OCCURRENCE
41.66,0.65,2018,8,Spain,OCCURRENCE
41.66,0.65,2008,6,Spain,OCCURRENCE
41.68,1.85,2011,6,Spain,OCCURRENCE
41.68,1.85,2007,6,Spain,OCCURRENCE
41.68,1.85,2007,6,Spain,OCCURRENCE
41.75,0.77,2002,8,Spain,OCCURRENCE
41.76,1.73,2007,6,Spain,OCCURRENCE
41.77,1.85,2020,6,Spain,OCCURRENCE
41.77,1.85,2010,6,Spain,OCCURRENCE
41.77,1.85,2010,6,Spain,OCCURRENCE
41.77,1.85,2007,6,Spain,OCCURRENCE
41.77,1.97,2010,6,Spain,OCCURRENCE
41.77,1.97,2009,6,Spain,OCCURRENCE
41.84,0.77,2007,8,Spain,OCCURRENCE
41.84,0.89,2021,5,Spain,OCCURRENCE
41.84,0.89,2008,6,Spain,OCCURRENCE
41.85,1.73,2020,6,Spain,OCCURRENCE
41.93,1,2007,8,Spain,OCCURRENCE
41.95,2.33,2007,6,Spain,OCCURRENCE
42.3,1.36,2016,9,Spain,OCCURRENCE
42.65,0.98,1946,3,Spain,OCCURRENCE
45.303189,-0.744618,,,France,HUMAN_OBSERVATION
46.697777,-1.944529,1996,,France,HUMAN_OBSERVATION
47.029362,-2.055863,,,France,HUMAN_OBSERVATION
47.270269,-2.201003,,,France,HUMAN_OBSERVATION
47.278676,-2.156496,2016,,France,HUMAN_OBSERVATION
47.605581,-2.957123,,,France,HUMAN_OBSERVATION
48.625858,-2.035119,,,France,HUMAN_OBSERVATION
52.517557,4.894304,2008,4,Netherlands,HUMAN_OBSERVATION
52.867691,4.909562,2006,9,Netherlands,HUMAN_OBSERVATION
52.87648,4.934806,2006,9,Netherlands,HUMAN_OBSERVATION
