latitude,longitude,year,month,country,basisOfRecord
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
41.786,3.046,,,Spain,MATERIAL_SAMPLE
41.786333,3.045806,,,Spain,MATERIAL_SAMPLE
43.424697,3.70003,2022,7,France,HUMAN_OBSERVATION
43.424697,3.70003,2022,7,France,HUMAN_OBSERVATION
43.424697,3.70003,2021,8,France,HUMAN_OBSERVATION
43.424697,3.70003,2021,8,France,HUMAN_OBSERVATION
43.424697,3.70003,2021,8,France,HUMAN_OBSERVATION
43.424697,3.70003,2021,8,France,HUMAN_OBSERVATION
43.424697,3.70003,2021,8,France,HUMAN_OBSERVATION
43.424697,3.70003,2021,10,France,HUMAN_OBSERVATION
43.424697,3.70003,2020,9,France,HUMAN_OBSERVATION
43.424697,3.70003,2020,9,France,HUMAN_OBSERVATION
43.424915,3.700528,2022,7,France,HUMAN_OBSERVATION
43.424962,3.700449,2021,11,France,HUMAN_OBSERVATION
