latitude,longitude,year,month,country,basisOfRecord
35.343157,25.136721,2020,11,Greece,MATERIAL_SAMPLE
35.343157,25.136721,2020,11,Greece,MATERIAL_SAMPLE
38.08,-0.6,2000,1,Spain,HUMAN_OBSERVATION
38.09,-0.6,1999,3,Spain,HUMAN_OBSERVATION
38.1,-0.6,2001,2,Spain,HUMAN_OBSERVATION
38.1,-0.6,1999,2,Spain,HUMAN_OBSERVATION
38.13,-0.6,1999,1,Spain,HUMAN_OBSERVATION
38.67,0.14,2000,11,Spain,HUMAN_OBSERVATION
38.88,-0.01,2018,5,Spain,HUMAN_OBSERVATION
38.89,-0.01,2018,5,Spain,HUMAN_OBSERVATION
38.9,-0.02,2018,5,Spain,HUMAN_OBSERVATION
38.9,-0.01,2018,5,Spain,HUMAN_OBSERVATION
43.34087,-1.75293,2008,10,France,HUMAN_OBSERVATION
43.3426,-1.77107,2008,10,France,HUMAN_OBSERVATION
43.3426,-1.77107,2008,10,France,HUMAN_OBSERVATION
43.3426,-1.77107,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.3432,-1.76548,2008,10,France,HUMAN_OBSERVATION
43.34323,-1.77287,2016,10,France,HUMAN_OBSERVATION
43.34423,-1.77602,2008,10,France,HUMAN_OBSERVATION
43.34423,-1.77602,2008,10,France,HUMAN_OBSERVATION
43.34423,-1.77602,2008,10,France,HUMAN_OBSERVATION
43.34423,-1.77602,2008,10,France,HUMAN_OBSERVATION
