latitude,longitude,year,month,country,basisOfRecord
36.769293,-5.475538,2023,9,Spain,HUMAN_OBSERVATION
36.912915,-4.779876,2024,6,Spain,HUMAN_OBSERVATION
37.01962,-2.891432,2022,9,Spain,HUMAN_OBSERVATION
37.01977,-2.89112,2022,9,Spain,HUMAN_OBSERVATION
37.019775,-2.891167,2022,9,Spain,HUMAN_OBSERVATION
37.019775,-2.891167,2022,9,Spain,HUMAN_OBSERVATION
37.115752,-2.818788,2023,3,Spain,HUMAN_OBSERVATION
37.118039,-2.810671,2016,10,Spain,HUMAN_OBSERVATION
37.236132,-8.380137,2022,9,Portugal,HUMAN_OBSERVATION
37.919226,-2.928726,2023,10,Spain,HUMAN_OBSERVATION
38.085503,-0.953268,2024,7,Spain,HUMAN_OBSERVATION
38.085613,-0.953448,2024,7,Spain,HUMAN_OBSERVATION
38.412686,-0.469927,2022,3,Spain,HUMAN_OBSERVATION
38.413065,-0.470292,2024,6,Spain,HUMAN_OBSERVATION
38.734257,-9.212041,2021,7,Portugal,HUMAN_OBSERVATION
38.798385,-0.612785,2022,4,Spain,HUMAN_OBSERVATION
39.011312,-0.313413,2022,9,Spain,HUMAN_OBSERVATION
39.060196,-3.009076,2023,5,Spain,HUMAN_OBSERVATION
39.060196,-3.009076,2023,5,Spain,HUMAN_OBSERVATION
39.061208,-3.003044,2023,5,Spain,HUMAN_OBSERVATION
39.061208,-3.003044,2023,5,Spain,HUMAN_OBSERVATION
39.11,-0.5,2018,12,Spain,HUMAN_OBSERVATION
39.21,-1.06,2017,5,Spain,HUMAN_OBSERVATION
39.22,-1.07,2017,5,Spain,HUMAN_OBSERVATION
39.360585,-1.448053,2022,9,Spain,HUMAN_OBSERVATION
39.36076,-1.44773,2022,9,Spain,HUMAN_OBSERVATION
39.36092,-1.447912,2022,9,Spain,HUMAN_OBSERVATION
39.361112,-1.448027,2022,9,Spain,HUMAN_OBSERVATION
39.619425,-0.256763,2016,5,Spain,HUMAN_OBSERVATION
39.77,-1.21,2021,7,Spain,HUMAN_OBSERVATION
39.93,-1.2,2019,9,Spain,HUMAN_OBSERVATION
39.94,-0.57,2018,12,Spain,HUMAN_OBSERVATION
39.960371,-8.344258,2024,6,Portugal,HUMAN_OBSERVATION
40.04,-0.57,2018,12,Spain,HUMAN_OBSERVATION
40.16322,-8.829598,2022,8,Portugal,HUMAN_OBSERVATION
40.356117,-8.4449,2021,5,Portugal,HUMAN_OBSERVATION
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.36501,-3.651625,,,Spain,MATERIAL_SAMPLE
40.4223,-8.629042,2022,1,Portugal,HUMAN_OBSERVATION
40.459722,-8.699167,2022,1,Portugal,HUMAN_OBSERVATION
40.528283,-3.281764,2024,10,Spain,HUMAN_OBSERVATION
40.61,-0.28,2017,10,Spain,HUMAN_OBSERVATION
40.61,-0.28,2017,10,Spain,HUMAN_OBSERVATION
40.627349,0.283381,2016,8,Spain,HUMAN_OBSERVATION
40.633573,0.277059,2016,8,Spain,HUMAN_OBSERVATION
40.650979,-3.80672,2016,6,Spain,HUMAN_OBSERVATION
40.684497,-3.089209,2024,5,Spain,HUMAN_OBSERVATION
40.85986,-4.685841,2016,1,Spain,HUMAN_OBSERVATION
41.302674,1.197819,2019,4,Spain,HUMAN_OBSERVATION
41.402109,1.996399,2024,10,Spain,HUMAN_OBSERVATION
41.408401,2.016055,2022,4,Spain,HUMAN_OBSERVATION
41.46578,0.728874,2022,5,Spain,HUMAN_OBSERVATION
41.46578,0.728874,2022,5,Spain,HUMAN_OBSERVATION
41.548804,13.187662,2016,4,Italy,HUMAN_OBSERVATION
41.551178,2.117486,2017,6,Spain,HUMAN_OBSERVATION
41.551178,2.117486,2017,6,Spain,HUMAN_OBSERVATION
41.551178,2.117486,2017,6,Spain,HUMAN_OBSERVATION
41.643253,2.15552,2016,5,Spain,HUMAN_OBSERVATION
41.72256,9.2998,2021,4,France,HUMAN_OBSERVATION
41.7335,2.50212,2016,11,Spain,MATERIAL_SAMPLE
41.818264,-1.599272,2017,12,Spain,HUMAN_OBSERVATION
41.86265,9.39437,2019,7,France,HUMAN_OBSERVATION
41.912656,0.960066,2017,7,Spain,HUMAN_OBSERVATION
41.912656,0.960066,2017,8,Spain,HUMAN_OBSERVATION
41.912656,0.960066,2017,8,Spain,HUMAN_OBSERVATION
41.91489,9.27509,2021,5,France,HUMAN_OBSERVATION
41.919124,2.720404,2022,5,Spain,HUMAN_OBSERVATION
41.919197,2.719996,2022,5,Spain,HUMAN_OBSERVATION
41.919197,2.719996,2022,5,Spain,HUMAN_OBSERVATION
41.91922,2.720141,2022,5,Spain,HUMAN_OBSERVATION
41.919236,2.720532,2022,5,Spain,HUMAN_OBSERVATION
41.92124,9.33502,2021,5,France,HUMAN_OBSERVATION
41.927027,-1.682153,2017,12,Spain,HUMAN_OBSERVATION
42.027036,2.076003,2023,7,Spain,HUMAN_OBSERVATION
42.151858,12.651581,2024,7,Italy,HUMAN_OBSERVATION
42.2175,2.51594,2023,4,Spain,HUMAN_OBSERVATION
42.287168,14.471521,2024,9,Italy,HUMAN_OBSERVATION
42.35526,9.44917,2021,10,France,HUMAN_OBSERVATION
42.37331,8.77279,2021,10,France,HUMAN_OBSERVATION
42.38842,9.47488,2021,10,France,HUMAN_OBSERVATION
42.39397,9.20643,2017,5,France,HUMAN_OBSERVATION
42.39872,9.38479,2021,10,France,HUMAN_OBSERVATION
42.410738,-8.019758,2024,8,Spain,HUMAN_OBSERVATION
42.41832,8.75519,2021,10,France,HUMAN_OBSERVATION
42.42492,9.20131,2021,10,France,HUMAN_OBSERVATION
42.4271,9.50459,2017,4,France,HUMAN_OBSERVATION
42.427565,9.504641,2020,5,France,HUMAN_OBSERVATION
42.47,3.12,1994,8,France,OCCURRENCE
42.495395,9.435334,2021,6,France,HUMAN_OBSERVATION
42.50269,9.28077,2021,10,France,HUMAN_OBSERVATION
42.53994,8.89211,2021,10,France,HUMAN_OBSERVATION
42.579302,13.598358,2023,5,Italy,HUMAN_OBSERVATION
42.58185,8.85712,2021,10,France,HUMAN_OBSERVATION
42.58573,9.11715,2020,10,France,HUMAN_OBSERVATION
42.60268,9.3711,2020,10,France,HUMAN_OBSERVATION
42.62553,9.10122,2020,10,France,HUMAN_OBSERVATION
42.68641,9.42514,2017,5,France,HUMAN_OBSERVATION
42.7,2.86,1994,8,France,OCCURRENCE
42.70131,27.655972,2023,8,Bulgaria,HUMAN_OBSERVATION
42.710811,13.994333,2023,12,Italy,HUMAN_OBSERVATION
42.71116,9.44961,2019,9,France,HUMAN_OBSERVATION
42.73449,9.454,2019,9,France,HUMAN_OBSERVATION
42.7346,9.44039,2019,9,France,HUMAN_OBSERVATION
42.78588,9.34689,2017,5,France,HUMAN_OBSERVATION
42.81,2.74,1994,9,France,OCCURRENCE
42.81323,9.43853,2020,10,France,HUMAN_OBSERVATION
42.873512,-8.5342,2024,7,Spain,HUMAN_OBSERVATION
42.915047,-1.464645,2022,8,Spain,HUMAN_OBSERVATION
42.9882,1.07648,2021,7,France,HUMAN_OBSERVATION
43.10331,2.41363,2016,10,France,HUMAN_OBSERVATION
43.10391,6.03877,2016,6,France,HUMAN_OBSERVATION
43.14349,6.22525,2018,6,France,HUMAN_OBSERVATION
43.14349,6.22525,2017,5,France,HUMAN_OBSERVATION
43.14349,6.22525,2016,6,France,HUMAN_OBSERVATION
43.143803,-4.80967,2019,,Spain,HUMAN_OBSERVATION
43.14531,6.16388,2018,6,France,HUMAN_OBSERVATION
43.14531,6.16388,2017,5,France,HUMAN_OBSERVATION
43.14531,6.16388,2016,6,France,HUMAN_OBSERVATION
43.14885,6.04113,2017,10,France,HUMAN_OBSERVATION
43.14885,6.04113,2017,10,France,HUMAN_OBSERVATION
43.15224,5.91837,2018,4,France,HUMAN_OBSERVATION
43.15224,5.91837,2018,4,France,HUMAN_OBSERVATION
43.15224,5.91837,2017,10,France,HUMAN_OBSERVATION
43.15224,5.91837,2017,10,France,HUMAN_OBSERVATION
43.160051,6.063455,2024,7,France,HUMAN_OBSERVATION
43.16348,6.09282,2019,,France,HUMAN_OBSERVATION
43.16504,-0.25719,2019,3,France,HUMAN_OBSERVATION
43.214555,27.602484,2022,5,Bulgaria,HUMAN_OBSERVATION
43.225552,-8.793045,2021,8,Spain,HUMAN_OBSERVATION
