latitude,longitude,year,month,country,basisOfRecord
50.362855,-4.150379,2013,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.3634,-4.1522,2012,11,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.364942,-4.131055,2009,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.364942,-4.131055,2009,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.3652,-4.1309,2009,11,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.366371,-4.154757,2014,10,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
50.3667,-4.1555,2013,10,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
50.3668,-4.1561,2019,,United Kingdom of Great Britain and Northern Ireland,OCCURRENCE
50.3674,-4.1544,2019,,United Kingdom of Great Britain and Northern Ireland,OCCURRENCE
50.370584,-4.145807,2012,11,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
52.64,4.62,2017,1,Netherlands,HUMAN_OBSERVATION
53.1523,-6.0663,2015,10,Ireland,MATERIAL_SAMPLE
53.31956,-4.642572,2011,11,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
53.32017,-4.642309,2014,6,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
53.3204,-4.6434,2011,5,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
53.320633,-4.643687,2011,2,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
53.320633,-4.643687,2011,2,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
53.320633,-4.643687,2011,6,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
53.320633,-4.643687,2011,6,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
53.320633,-4.643687,2010,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
53.320633,-4.643687,2010,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
54.051718,-6.190804,2023,8,Ireland,HUMAN_OBSERVATION
54.1469,-4.4726,2014,4,Isle of Man,MATERIAL_SAMPLE
54.664343,-5.67026,2023,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.665562,-5.67267,2024,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.665562,-5.67267,2024,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.71053,-5.812919,2023,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.71053,-5.812919,2023,11,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
54.969554,-5.952096,2023,6,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
55.1193,-1.4954,2016,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE
55.206535,-6.239027,2021,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
55.206535,-6.239027,2021,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
55.206659,-6.239275,2023,6,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
55.206688,-6.239711,2023,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION
