latitude,longitude,year,month,country,basisOfRecord
50.52067,3.68414,2020,12,Belgium,HUMAN_OBSERVATION
51.075809,2.491624,2023,3,France,HUMAN_OBSERVATION
51.09571,2.56419,2009,12,Belgium,HUMAN_OBSERVATION
51.10722,2.59249,2021,7,Belgium,HUMAN_OBSERVATION
51.10963,2.59907,2020,7,Belgium,HUMAN_OBSERVATION
51.1111,2.60336,2021,9,Belgium,HUMAN_OBSERVATION
51.11152,2.60237,2023,8,Belgium,HUMAN_OBSERVATION
51.11172,2.60546,2021,6,Belgium,HUMAN_OBSERVATION
51.11174,2.60443,2021,6,Belgium,HUMAN_OBSERVATION
51.11249,2.6064,2022,8,Belgium,HUMAN_OBSERVATION
51.11631,2.6201,2017,5,Belgium,HUMAN_OBSERVATION
51.11739,2.61942,2021,6,Belgium,HUMAN_OBSERVATION
51.11842,2.62036,2020,7,Belgium,HUMAN_OBSERVATION
51.11847,2.62036,2020,7,Belgium,HUMAN_OBSERVATION
51.11857,2.62412,2020,5,Belgium,HUMAN_OBSERVATION
51.11913,2.62475,2019,8,Belgium,HUMAN_OBSERVATION
51.11947,2.62602,2020,5,Belgium,HUMAN_OBSERVATION
51.12025,2.62328,2021,8,Belgium,HUMAN_OBSERVATION
51.1672,2.76334,2022,1,Belgium,HUMAN_OBSERVATION
51.16723,2.76337,2022,1,Belgium,HUMAN_OBSERVATION
51.16752,2.76305,2022,1,Belgium,HUMAN_OBSERVATION
51.19902,2.8395,2024,10,Belgium,HUMAN_OBSERVATION
51.22444,4.39259,2019,3,Belgium,HUMAN_OBSERVATION
51.23579,4.09779,2022,2,Belgium,HUMAN_OBSERVATION
51.23628,2.92568,2013,3,Belgium,HUMAN_OBSERVATION
51.2376,2.91933,2021,4,Belgium,HUMAN_OBSERVATION
51.23771,2.91919,2021,4,Belgium,HUMAN_OBSERVATION
51.23771,2.91919,2021,4,Belgium,HUMAN_OBSERVATION
51.23771,2.91919,2021,4,Belgium,HUMAN_OBSERVATION
51.2378,2.91888,2021,4,Belgium,HUMAN_OBSERVATION
51.23805,2.91386,2025,3,Belgium,HUMAN_OBSERVATION
51.24036,2.93349,2015,3,Belgium,HUMAN_OBSERVATION
51.24992,4.30997,2022,5,Belgium,HUMAN_OBSERVATION
51.26417,4.3008,2021,8,Belgium,HUMAN_OBSERVATION
51.2655,4.30986,2021,8,Belgium,HUMAN_OBSERVATION
51.2719,3.21352,2020,3,Belgium,HUMAN_OBSERVATION
51.2877,3.05005,2023,2,Belgium,HUMAN_OBSERVATION
51.29364,3.20637,2015,3,Belgium,HUMAN_OBSERVATION
51.2946,3.20714,2017,3,Belgium,HUMAN_OBSERVATION
51.29622,3.06918,2020,3,Belgium,HUMAN_OBSERVATION
51.29737,4.28079,2019,8,Belgium,HUMAN_OBSERVATION
51.30011,3.0713,2024,10,Belgium,HUMAN_OBSERVATION
51.30243,4.28606,2020,9,Belgium,HUMAN_OBSERVATION
51.33193,3.17628,2018,7,Belgium,HUMAN_OBSERVATION
51.33215,3.17639,2015,9,Belgium,HUMAN_OBSERVATION
51.3331,3.20219,2018,6,Belgium,HUMAN_OBSERVATION
51.33311,3.20141,2018,6,Belgium,HUMAN_OBSERVATION
51.33325,3.20228,2019,6,Belgium,HUMAN_OBSERVATION
51.33461,3.17644,2016,7,Belgium,HUMAN_OBSERVATION
51.33546,3.17493,2016,7,Belgium,HUMAN_OBSERVATION
51.3392,3.17537,2019,3,Belgium,HUMAN_OBSERVATION
51.3392,3.17537,2019,3,Belgium,HUMAN_OBSERVATION
51.33922,3.17536,2019,3,Belgium,HUMAN_OBSERVATION
51.33943,3.1753,2018,1,Belgium,HUMAN_OBSERVATION
51.34476,3.23472,2021,3,Belgium,HUMAN_OBSERVATION
51.35,3.35,2022,4,Netherlands,HUMAN_OBSERVATION
51.36438,3.33445,2024,7,Belgium,HUMAN_OBSERVATION
51.4,3.55,2023,4,Netherlands,HUMAN_OBSERVATION
