latitude,longitude,year,month,country,basisOfRecord
34.926,24.9596,2018,7,Greece,HUMAN_OBSERVATION
34.9359,24.8262,2018,8,Greece,HUMAN_OBSERVATION
34.994744,24.74826,2024,10,Greece,HUMAN_OBSERVATION
34.999881,25.80548,2017,9,Greece,HUMAN_OBSERVATION
35.018055,25.857808,2018,7,Greece,HUMAN_OBSERVATION
35.02021,26.014299,2022,8,Greece,HUMAN_OBSERVATION
35.021584,26.067898,2022,8,Greece,HUMAN_OBSERVATION
35.043032,26.23509,2024,5,Greece,HUMAN_OBSERVATION
35.100816,26.265485,2022,4,Greece,HUMAN_OBSERVATION
35.118894,24.544656,2024,10,Greece,HUMAN_OBSERVATION
35.151083,24.472859,2023,6,Greece,HUMAN_OBSERVATION
35.151083,24.472859,2023,6,Greece,HUMAN_OBSERVATION
35.151935,24.474533,2024,6,Greece,HUMAN_OBSERVATION
35.1661,24.420442,2022,10,Greece,HUMAN_OBSERVATION
35.166144,24.420815,2022,8,Greece,HUMAN_OBSERVATION
35.173958,24.413319,2024,10,Greece,HUMAN_OBSERVATION
35.186011,24.396227,2024,10,Greece,HUMAN_OBSERVATION
35.188914,24.397682,2024,10,Greece,HUMAN_OBSERVATION
35.189731,24.389545,2024,9,Greece,HUMAN_OBSERVATION
35.19045,24.386465,2024,9,Greece,HUMAN_OBSERVATION
35.190818,24.389448,2024,9,Greece,HUMAN_OBSERVATION
35.193062,24.380951,2024,9,Greece,HUMAN_OBSERVATION
35.193185,24.381702,2024,9,Greece,HUMAN_OBSERVATION
35.193382,24.381959,2024,9,Greece,HUMAN_OBSERVATION
35.215867,26.271414,2024,10,Greece,HUMAN_OBSERVATION
35.215927,26.271222,2025,5,Greece,HUMAN_OBSERVATION
35.228992,23.677641,2021,9,Greece,HUMAN_OBSERVATION
35.232777,23.632797,2024,6,Greece,HUMAN_OBSERVATION
35.255071,25.734282,2024,7,Greece,HUMAN_OBSERVATION
35.25524,26.266966,2021,7,Greece,HUMAN_OBSERVATION
35.257175,25.731707,2020,10,Greece,HUMAN_OBSERVATION
35.257237,25.734695,2020,10,Greece,HUMAN_OBSERVATION
35.260335,25.752084,2024,7,Greece,HUMAN_OBSERVATION
35.262128,26.264232,2023,7,Greece,HUMAN_OBSERVATION
35.263729,25.722792,2024,5,Greece,HUMAN_OBSERVATION
35.264578,25.721817,2023,11,Greece,HUMAN_OBSERVATION
35.265205,26.263687,2023,7,Greece,HUMAN_OBSERVATION
35.266443,26.263161,2022,9,Greece,HUMAN_OBSERVATION
35.291201,26.292346,2022,7,Greece,HUMAN_OBSERVATION
35.291733,26.292389,2022,7,Greece,HUMAN_OBSERVATION
35.416369,26.932751,2018,7,Greece,HUMAN_OBSERVATION
35.502343,24.177246,2021,9,Greece,HUMAN_OBSERVATION
35.513826,24.018036,2024,3,Greece,HUMAN_OBSERVATION
35.515165,23.989996,2024,8,Greece,HUMAN_OBSERVATION
35.548938,24.063147,2022,3,Greece,HUMAN_OBSERVATION
36.423884,22.473113,2022,6,Greece,HUMAN_OBSERVATION
36.471556,22.971215,2018,9,Greece,HUMAN_OBSERVATION
36.472698,22.970829,2018,9,Greece,HUMAN_OBSERVATION
36.48761,23.067545,2023,8,Greece,HUMAN_OBSERVATION
36.522643,22.995257,2022,8,Greece,HUMAN_OBSERVATION
36.525579,23.035353,2024,9,Greece,HUMAN_OBSERVATION
36.52722,23.030143,2020,7,Greece,HUMAN_OBSERVATION
36.52735,23.012883,2022,7,Greece,HUMAN_OBSERVATION
36.527539,23.014199,2023,8,Greece,HUMAN_OBSERVATION
36.527638,23.014241,2022,8,Greece,HUMAN_OBSERVATION
36.581268,22.937772,2022,7,Greece,HUMAN_OBSERVATION
36.61928,22.494949,2022,6,Greece,HUMAN_OBSERVATION
36.642867,22.380211,2021,11,Greece,HUMAN_OBSERVATION
36.657932,22.534091,2022,8,Greece,HUMAN_OBSERVATION
36.681032,22.37827,2023,7,Greece,HUMAN_OBSERVATION
36.719416,22.536349,2022,8,Greece,HUMAN_OBSERVATION
36.787291,22.583888,2022,6,Greece,HUMAN_OBSERVATION
36.844334,22.258901,2020,8,Greece,HUMAN_OBSERVATION
36.980061,22.993567,2025,6,Greece,HUMAN_OBSERVATION
37.189375,22.908712,2025,5,Greece,HUMAN_OBSERVATION
37.517281,22.86006,2023,5,Greece,HUMAN_OBSERVATION
37.524434,22.936334,2023,8,Greece,HUMAN_OBSERVATION
37.873128,23.744741,2023,6,Greece,HUMAN_OBSERVATION
37.958395,23.613336,2023,5,Greece,HUMAN_OBSERVATION
